question,answer,qA
"#Q The Cold war, which began in 1947 was a consequence of World War II. Who were the leaders of the two superpowers (The USA and the Soviet Union) at the beginning of the Cold War?
",Truman and Stalin,"['#Q The Cold war, which began in 1947 was a consequence of World War II. Who were the leaders of the two superpowers (The USA and the Soviet Union) at the beginning of the Cold War?\n'
 '^ Truman and Stalin\n' 'A Truman and Stalin\n'
 'B Eisenhower and Kruschev\n' 'C Eisenhower and Stalin\n'
 'D Molotov and Roosevelt\n']"
"#Q What war began in 1914?
",World War I,"['#Q What war began in 1914?\n' '^ World War I\n' 'A Russo-Japanese war\n'
 'B World War I\n' 'C World War II\n' 'D Spanish-American war\n']"
"#Q The first hot air balloon was created in 1783.
",True,"['#Q The first hot air balloon was created in 1783.\n' '^ True\n'
 'A True\n' 'B False\n' '\n'
 '#Q When was the first rollercoaster built?\n']"
"#Q When was the first rollercoaster built?
",1884,"['#Q When was the first rollercoaster built?\n' '^ 1884\n' 'A 1884\n'
 'B 1939\n' 'C 1929\n' 'D 1892\n']"
"#Q Who was Time Magazines Person of the Year for 2007?
",Vladimir Putin,"['#Q Who was Time Magazines Person of the Year for 2007?\n'
 '^ Vladimir Putin\n' 'A Al Gore\n' 'B J. K. Rowling\n'
 'C Vladimir Putin\n' 'D Hu Jintao\n']"
"#Q People Magazine named a 2007 Star of the Year. This star is the new face of Versace, plays around with a Grand-Am race car and became the father of two. Who is this Prince Charming?
",Patrick Dempsey,"['#Q People Magazine named a 2007 Star of the Year. This star is the new face of Versace, plays around with a Grand-Am race car and became the father of two. Who is this Prince Charming?\n'
 '^ Patrick Dempsey\n' 'A Johnny Depp\n' 'B Brad Pitt\n' 'C Tiger Woods\n'
 'D Patrick Dempsey\n']"
"#Q What gentleman made the cover of Details Magazine and was ranked # 7 as a Good Father in Details Magazines 50 Most Influential Men Under 45?
",Kevin Federline,"['#Q What gentleman made the cover of Details Magazine and was ranked # 7 as a Good Father in Details Magazines 50 Most Influential Men Under 45?\n'
 '^ Kevin Federline\n' 'A Sean Combs\n' 'B Barack Obama\n' 'C Brad Pitt\n'
 'D Kevin Federline\n']"
"#Q What author broke the record for book sales when the last book in her famous series sold 15 million copies in 24 hours?
",J. K. Rowling,"['#Q What author broke the record for book sales when the last book in her famous series sold 15 million copies in 24 hours?\n'
 '^ J. K. Rowling\n' 'A Dan Brown\n' 'B Norman Mailer\n' 'C C. S. Lewis\n'
 'D J. K. Rowling\n']"
"#Q Time Magazine made a list of The Ten Best Buzzwords of 2007. The #1 Buzzword was a noun meaning an older woman who romantically pursues younger men.  What was Time Magazines # 1 Buzzword in 2007?
",Cougar,"['#Q Time Magazine made a list of The Ten Best Buzzwords of 2007. The #1 Buzzword was a noun meaning an older woman who romantically pursues younger men.  What was Time Magazines # 1 Buzzword in 2007?\n'
 '^ Cougar\n' 'A Vixen\n' 'B Fox\n' 'C Cougar\n' 'D Badger\n']"
"#Q The movie No Country for Old Men based on the novel by Cormac McCarthy was on many list of 10 Best Films of the Year and won Best Picture from the National Board of Review and the Critics Choice Awards.  Who directed No Country for Old Men?
",The Coen Brothers,"['#Q The movie No Country for Old Men based on the novel by Cormac McCarthy was on many list of 10 Best Films of the Year and won Best Picture from the National Board of Review and the Critics Choice Awards.  Who directed No Country for Old Men?\n'
 '^ The Coen Brothers\n' 'A The Coen Brothers\n' 'B Clint Eastwood\n'
 'C Tim Burton\n' 'D Sean Penn\n']"
"#Q Together at last! Late Show with David Letterman won the # 1 spot in The 10 Best TV Ads.
","Long thought to be estranged, what billionaire is Dave cuddling up with to cheer on their respective football teams.","['#Q Together at last! Late Show with David Letterman won the # 1 spot in The 10 Best TV Ads.\n'
 'Long thought to be estranged, what billionaire is Dave cuddling up with to cheer on their respective football teams.\n'
 '^ Oprah Winfrey\n' 'A Drew Barrymore\n' 'B Oprah Winfrey\n'
 'C Steve Jobs\n']"
"#Q In college football, 2007 may well be remembered as the year of the upset. On October 13, November 23, 24 and December 1st both the # 1and # 2 teams in the US suffered upsets and the 2007 regular season ended with Pitts shocking  win over West Virginia. But it was the defeat of Michigan, the fifth ranked team in the nation, by a 1-AA team that has been touted by many as the greatest upset in college football history. What team became the first 1-AA team to beat a ranked 1- A team?
",Appalachian State University,"['#Q In college football, 2007 may well be remembered as the year of the upset. On October 13, November 23, 24 and December 1st both the # 1and # 2 teams in the US suffered upsets and the 2007 regular season ended with Pitts shocking  win over West Virginia. But it was the defeat of Michigan, the fifth ranked team in the nation, by a 1-AA team that has been touted by many as the greatest upset in college football history. What team became the first 1-AA team to beat a ranked 1- A team?\n'
 '^ Appalachian State University\n' 'A Appalachian State University\n'
 'B Montana State\n' 'C University of Delaware\n' 'D The Citadel\n']"
"#Q If you cant do the time, dont commit the crime. Which of the following celebrities spent the LEAST amount of time in jail in 2007?
",Nicole Richie,"['#Q If you cant do the time, dont commit the crime. Which of the following celebrities spent the LEAST amount of time in jail in 2007?\n'
 '^ Nicole Richie\n' 'A Nicole Richie\n' 'B Michelle Rodrigues\n'
 'C Paris Hilton\n' 'D Lindsay Lohan\n']"
"#Q The town of Hastings, where the Battle of Hastings took place, is located in which county?
",East Sussex,"['#Q The town of Hastings, where the Battle of Hastings took place, is located in which county?\n'
 '^ East Sussex\n' 'A Kent\n' 'B Surrey\n' 'C East Sussex\n'
 'D West Sussex\n']"
"#Q Who conquered England as a result of the Battle of Hastings?
",The Normans,"['#Q Who conquered England as a result of the Battle of Hastings?\n'
 '^ The Normans\n' 'A The Normans\n' 'B The Romans\n' 'C The Vikings\n'
 'D The Scots\n']"
"#Q William the Conqueror was crowned King William I in Westminster Abbey, about two months after the Battle of Hastings.
",True,"['#Q William the Conqueror was crowned King William I in Westminster Abbey, about two months after the Battle of Hastings.\n'
 '^ True\n' 'A False\n' 'B True\n' '\n'
 '#Q Which Anglo-Saxon King of England died at the Battle of Hastings?\n']"
"#Q Which Anglo-Saxon King of England died at the Battle of Hastings?
",Harold II,"['#Q Which Anglo-Saxon King of England died at the Battle of Hastings?\n'
 '^ Harold II\n' 'A Charles II\n' 'B Charles I\n' 'C Richard III\n'
 'D Harold II\n']"
"#Q How many minutes did President Bush remain seated, reading My Pet Goat in a 3rd-grade classroom in Florida, after he was first told  America is under attack on September 11, 2001?
",5 Minutes,"['#Q How many minutes did President Bush remain seated, reading My Pet Goat in a 3rd-grade classroom in Florida, after he was first told  America is under attack on September 11, 2001?\n'
 '^ 5 Minutes\n' 'A 2 minutes\n' 'B 5 Minutes\n' 'C 1 minute\n'
 'D 10 minutes\n']"
"#Q Lawrence Wright, author of The Looming Tower, a new account of Al Qaedas attack on the U.S., reveals that the Afghans fighting alongside bin Laden in the 1980s considered him what?
",useless,"['#Q Lawrence Wright, author of The Looming Tower, a new account of Al Qaedas attack on the U.S., reveals that the Afghans fighting alongside bin Laden in the 1980s considered him what?\n'
 '^ useless\n' 'A a religious zealot\n' 'B a strategic genius\n'
 'C a courageous warrior\n' 'D useless\n']"
"#Q What was the flight number of the hijacked plane that crashed in rural Pennsylvania on September 11, 2001?
",United 93,"['#Q What was the flight number of the hijacked plane that crashed in rural Pennsylvania on September 11, 2001?\n'
 '^ United 93\n' 'A United 175\n' 'B American 11\n' 'C American 77\n'
 'D United 93\n']"
"#Q The events of 9/11 occurred on the Tuesday after Labor Day.
",False,"['#Q The events of 9/11 occurred on the Tuesday after Labor Day.\n'
 '^ False\n' 'A True\n' 'B False\n' '\n'
 '#Q The CIA knew Al Qaeda operatives met secretly in Malaysia in January 2001, and that later two of them, eventual 9/11 hijackers, entered the U.S. When did the CIA share this with the FBI?\n']"
"#Q The CIA knew Al Qaeda operatives met secretly in Malaysia in January 2001, and that later two of them, eventual 9/11 hijackers, entered the U.S. When did the CIA share this with the FBI?
","August, 2001","['#Q The CIA knew Al Qaeda operatives met secretly in Malaysia in January 2001, and that later two of them, eventual 9/11 hijackers, entered the U.S. When did the CIA share this with the FBI?\n'
 '^ August, 2001\n' 'A August, 2001\n' 'B June 2000\n' 'C January, 2001\n'
 'D February, 2000\n']"
"#Q Where did an FBI investigator argue futilely with his bosses a month before 9/11, by saying: Im trying to keep someone from taking a plane and crashing into the World Trade Center.?
",Minneapolis,"['#Q Where did an FBI investigator argue futilely with his bosses a month before 9/11, by saying: Im trying to keep someone from taking a plane and crashing into the World Trade Center.?\n'
 '^ Minneapolis\n' 'A Riyadh, Saudi Arabia\n' 'B Washington, DC\n'
 'C Minneapolis\n' 'D Baghdad, Iraq\n']"
"#Q What does the Arabic term Al Qaeda mean?
","the base, or foundation","['#Q What does the Arabic term Al Qaeda mean?\n'
 '^ the base, or foundation\n' 'A the revenge\n'
 'B the base, or foundation\n' 'C the struggle\n' 'D justice\n']"
"#Q U.S. military air defence jets scrambled into action as soon as news arrived that the first hijacked Boeing 727 had hit one of the twin World Trade Center towers on 9/11.
",True,"['#Q U.S. military air defence jets scrambled into action as soon as news arrived that the first hijacked Boeing 727 had hit one of the twin World Trade Center towers on 9/11.\n'
 '^ True\n' 'A True\n' 'B False\n' '\n'
 '#Q How did former FBI anti-terrorist squad leader John ONeill die on 9/11?\n']"
"#Q How did former FBI anti-terrorist squad leader John ONeill die on 9/11?
",He was in the midst of new duties as head of security at the World Trade Center.,"['#Q How did former FBI anti-terrorist squad leader John ONeill die on 9/11?\n'
 '^ He was in the midst of new duties as head of security at the World Trade Center.\n'
 'A He was attending a meeting in the portion of  the Pentagon that was struck by one of the hijacked planes.\n'
 'B He was in the midst of new duties as head of security at the World Trade Center.\n'
 'C He was helping firemen rescue people trapped on the top floors of the South Tower when it collapsed.\n'
 'D He was a passenger on the plane that crashed in Pennsylvania.\n']"
"#Q The Shuttle consisted of 2.5 million parts, including more than 1,000 plumbing valves, 1,400 circuit breakers and 230 miles of wire. The most complex job of building the Shuttle went to this company in Southern California.  They had to design and assemble the orbiter itself.
",Rockwell International,"['#Q The Shuttle consisted of 2.5 million parts, including more than 1,000 plumbing valves, 1,400 circuit breakers and 230 miles of wire. The most complex job of building the Shuttle went to this company in Southern California.  They had to design and assemble the orbiter itself.\n'
 '^ Rockwell International\n' 'A Space Systems LORAL\n'
 'B Rockwell International\n' 'C SAIC\n' 'D Raytheon Systems\n']"
"#Q When America grew more entrenched in Vietnam and struggled with racial and economic problems at home, many voters and politicians alike believed the space program should be abandoned altogether.  Some of Richard Nixons closest advisors however, convinced him that the shuttle should be built.  They gave this as an example of how a reusable space vehicle would be used, and Nixon liked it.
",The Shuttle would captire Soviet satellites,"['#Q When America grew more entrenched in Vietnam and struggled with racial and economic problems at home, many voters and politicians alike believed the space program should be abandoned altogether.  Some of Richard Nixons closest advisors however, convinced him that the shuttle should be built.  They gave this as an example of how a reusable space vehicle would be used, and Nixon liked it.\n'
 '^ The Shuttle would captire Soviet satellites\n'
 'A The Shuttle would launch nuclear missiles from space\n'
 'B The Shuttle would captire Soviet satellites\n'
 'C The Shuttle would spy on enemies\n'
 'D The Shuttle would help build a space station\n']"
"#Q In the morning of September 17, 1976 the Shuttle manufacturer treated the world to a glimpse of the future; a test model of the orbiter, one not intended for space flight, rolled out of their Palmdale, CA plant.  What name had the designers given this model?
",Enterprise,"['#Q In the morning of September 17, 1976 the Shuttle manufacturer treated the world to a glimpse of the future; a test model of the orbiter, one not intended for space flight, rolled out of their Palmdale, CA plant.  What name had the designers given this model?\n'
 '^ Enterprise\n' 'A Enterprise\n' 'B Millennium Falcon\n' 'C Discovery\n'
 'D Columbia\n']"
"#Q Space Shuttles are transported to the launch pad on this slow-moving 6,000,000 pound (approx. 2,725,000 kg) vehicle.  Fully loaded, it moves at a rate of 1 mph.
",Shuttle Crawler Transporter,"['#Q Space Shuttles are transported to the launch pad on this slow-moving 6,000,000 pound (approx. 2,725,000 kg) vehicle.  Fully loaded, it moves at a rate of 1 mph.\n'
 '^ Shuttle Crawler Transporter\n' 'A Big Bertha Transporter\n'
 'B Shuttle Tracked Vehicle\n' 'C Tracked Shuttle Transporter\n'
 'D Shuttle Crawler Transporter\n']"
"#Q It takes this long after liftoff, before the orbiter starts circling Earth at 17,500mph (28,000km/h).
",8 minutes,"['#Q It takes this long after liftoff, before the orbiter starts circling Earth at 17,500mph (28,000km/h).\n'
 '^ 8 minutes\n' 'A 19 minutes\n' 'B 3 minutes\n' 'C 8 minutes\n'
 'D 50 seconds\n']"
"#Q This once white and now orange part breaks up, as it falls through the intense heat of the Earths atmosphere.  It is the only expendable part of the Shuttle.
",External Fuel Tank,"['#Q This once white and now orange part breaks up, as it falls through the intense heat of the Earths atmosphere.  It is the only expendable part of the Shuttle.\n'
 '^ External Fuel Tank\n' 'A Top O-ring of the fuel tank\n'
 'B External Rocket Booster\n' 'C External Fuel Tank\n'
 'D Phase 1 Engine\n']"
"#Q NASA selected this astronaut to command the first Columbia flight.  He was a veteran of two Gemini and two Apollo missions and considered to be NASAs most experienced astronaut at the time.
",John Young,"['#Q NASA selected this astronaut to command the first Columbia flight.  He was a veteran of two Gemini and two Apollo missions and considered to be NASAs most experienced astronaut at the time.\n'
 '^ John Young\n' 'A John Young\n' 'B Byron Lichtenberg\n'
 'C John Glenn\n' 'D Bob Crippen\n']"
"#Q Prior to every Space Shuttle flight, a series of events take place at Floridas Kennedy Space Center.  The Shuttle is rolled out of its processing hanger on a 96-wheel transporter and carried to this 525 ft. tall building, originally built to assemble Saturn V rockets.
",Vehicle Asembly Building (VAB),"['#Q Prior to every Space Shuttle flight, a series of events take place at Floridas Kennedy Space Center.  The Shuttle is rolled out of its processing hanger on a 96-wheel transporter and carried to this 525 ft. tall building, originally built to assemble Saturn V rockets.\n'
 '^ Vehicle Asembly Building (VAB)\n'
 'A Modules Integration Facility (MIF)\n'
 'B Final Inspection Room (FIP)\n'
 'C Themal Tile Processing Plant (TTPP)\n'
 'D Vehicle Asembly Building (VAB)\n']"
"#Q On Columbias first mission,  the crew noticed something very disturbing after opening the 60 ft. long payload bay doors.
",Thermal tiles were missing,"['#Q On Columbias first mission,  the crew noticed something very disturbing after opening the 60 ft. long payload bay doors.\n'
 '^ Thermal tiles were missing\n'
 'A One of the radiators attached to the doors was loose\n'
 'B The doors would not close back\n' 'C The left door slightly bent\n'
 'D Thermal tiles were missing\n']"
"#Q January 16, 2003.  The crew of Americas 113th space shuttle mission exit the crew quarters on the 3rd floor of the operations and checkout building at Kennedy Space Center in Florida.  They take their traditional walk to the transporter van, that will carry them to the launch pad.  How old was shuttle Columbia at that time?
",22 years,"['#Q January 16, 2003.  The crew of Americas 113th space shuttle mission exit the crew quarters on the 3rd floor of the operations and checkout building at Kennedy Space Center in Florida.  They take their traditional walk to the transporter van, that will carry them to the launch pad.  How old was shuttle Columbia at that time?\n'
 '^ 22 years\n' 'A 21 years\n' 'B 16 years\n' 'C 19 years\n'
 'D 22 years\n']"
"#Q During takoff on Columbias first mission, did the crew notice debree from the fuel tank flying past their window?
",Yes,"['#Q During takoff on Columbias first mission, did the crew notice debree from the fuel tank flying past their window?\n'
 '^ Yes\n' 'A Yes\n' 'B No\n' '\n'
 '#Q During the days spent in orbit, the astronauts of Columbias last mission conducted dozens of experiments dedicated to improving life on Earth.   Exactly how many days did the astronauts spend in orbit?\n']"
"#Q During the days spent in orbit, the astronauts of Columbias last mission conducted dozens of experiments dedicated to improving life on Earth.   Exactly how many days did the astronauts spend in orbit?
",16,"['#Q During the days spent in orbit, the astronauts of Columbias last mission conducted dozens of experiments dedicated to improving life on Earth.   Exactly how many days did the astronauts spend in orbit?\n'
 '^ 16\n' 'A 10\n' 'B 14\n' 'C 16\n' 'D 20\n']"
"#Q On February 1, 2003 at 9:29am flight director Leroy Cain declared a contingency and asked Bill Foster, who was working ground control that day, to lock the doors. Contingency is a NASA term which meant this.
",The Shuttle had been lost,"['#Q On February 1, 2003 at 9:29am flight director Leroy Cain declared a contingency and asked Bill Foster, who was working ground control that day, to lock the doors. Contingency is a NASA term which meant this.\n'
 '^ The Shuttle had been lost\n' 'A There was a suspected saboteur\n'
 'B Personnel had to work overtime till communication was restored\n'
 'C Interferece was preventing radio communication\n'
 'D The Shuttle had been lost\n']"
"#Q What Civil War general is alleged to have sucked on lemons before going into a battle?
",Thomas Jackson,"['#Q What Civil War general is alleged to have sucked on lemons before going into a battle?\n'
 '^ Thomas Jackson\n' 'A James Longstreet\n' 'B Robert E. Lee\n'
 'C JEB Stuart\n' 'D Thomas Jackson\n']"
"#Q Who was the first official casualty of the American Civil War?
",Pvt. Daniel Hough,"['#Q Who was the first official casualty of the American Civil War?\n'
 '^ Pvt. Daniel Hough\n' 'A Pvt. Daniel Hough\n' 'B Pvt. Stephen Lang\n'
 'C Pvt. Peter Hermit\n' 'D Pvt. Harry Cruble\n']"
"#Q What was Ulysses S. Grants first battle, fought against Confederate General Gideon J. Pillow?
",Belmont,"['#Q What was Ulysses S. Grants first battle, fought against Confederate General Gideon J. Pillow?\n'
 '^ Belmont\n' 'A Fort Henry\n' 'B Shiloh\n' 'C Belmont\n'
 'D Fort Donelson\n']"
"#Q Who commanded the Union cavalry corps at the battle of Gettysburg?
",Alfred Pleasanton,"['#Q Who commanded the Union cavalry corps at the battle of Gettysburg?\n'
 '^ Alfred Pleasanton\n' 'A Phil Sheridan\n' 'B Alfred Pleasanton\n'
 'C Judson Kilpatrick\n' 'D George Armstrong Custer\n']"
"#Q At what battle of the American Civil War did Generals U.S. Grant, William T. Sherman, George H. Thomas, and Joseph Hooker all fight at once?
",Chattanooga,"['#Q At what battle of the American Civil War did Generals U.S. Grant, William T. Sherman, George H. Thomas, and Joseph Hooker all fight at once?\n'
 '^ Chattanooga\n' 'A Chickamauga\n' 'B Vicksburg\n' 'C Chattanooga\n'
 'D Gettysburg\n']"
"#Q At what battle of the American Civil War did Native American forces first participate in military action?
",Pea Ridge,"['#Q At what battle of the American Civil War did Native American forces first participate in military action?\n'
 '^ Pea Ridge\n' 'A Pea Ridge\n' 'B Poison Spring\n' 'C Wilsons Creek\n'
 'D Westport\n']"
"#Q What Union naval ship sank Confederate raider CSS Alabama during the American Civil War?
",USS Kearsarge,"['#Q What Union naval ship sank Confederate raider CSS Alabama during the American Civil War?\n'
 '^ USS Kearsarge\n' 'A USS Washington\n' 'B USS New York\n'
 'C USS Monitor\n' 'D USS Kearsarge\n']"
"#Q There were more people killed at Pearl Harbor on December 7, 1941 than there were some 60 years later in the terrorist attacks of September 11, 2001.
",False,"['#Q There were more people killed at Pearl Harbor on December 7, 1941 than there were some 60 years later in the terrorist attacks of September 11, 2001.\n'
 '^ False\n' 'A True\n' 'B False\n' '\n'
 '#Q In April, 2004, then-National Security Advisor Condoleezza Rice told the 9/11 Commission: I do not remember any reports to us, a kind of strategic warning, that planes might be used as weapons.  What fact refutes Dr. Rices statement?\n']"
"#Q In April, 2004, then-National Security Advisor Condoleezza Rice told the 9/11 Commission: I do not remember any reports to us, a kind of strategic warning, that planes might be used as weapons.  What fact refutes Dr. Rices statement?
","Two years before 9/11, in an Air Force training exercise, jet pilots practiced shooting down a hijacked commercial aircraft before it could crash into civilian targets.","['#Q In April, 2004, then-National Security Advisor Condoleezza Rice told the 9/11 Commission: I do not remember any reports to us, a kind of strategic warning, that planes might be used as weapons.  What fact refutes Dr. Rices statement?\n'
 '^ Two years before 9/11, in an Air Force training exercise, jet pilots practiced shooting down a hijacked commercial aircraft before it could crash into civilian targets.\n'
 'A A year before 9/11, the CIA briefed President Bush and the Cabinet about terrorists in flight school.\n'
 'B Rice had drafted her own memo about hijacking dangers before she served in the Bush administration.\n'
 'C A plot like this was depicted in the movie Top Gun.\n'
 'D Two years before 9/11, in an Air Force training exercise, jet pilots practiced shooting down a hijacked commercial aircraft before it could crash into civilian targets.\n']"
"#Q In 1996, U.S. anti-terrorist investigators learned of an organization called al-Qaeda for the very first time from which one of the following?
",Sudanese informer,"['#Q In 1996, U.S. anti-terrorist investigators learned of an organization called al-Qaeda for the very first time from which one of the following?\n'
 '^ Sudanese informer\n' 'A Sudanese informer\n'
 'B captured Taliban fighter\n' 'C Israeli Mossad agent\n'
 'D released American hostage\n']"
"#Q Osama bin Laden is the scion of a huge, wealthy, long-established Saudi Arabian clan.
",False,"['#Q Osama bin Laden is the scion of a huge, wealthy, long-established Saudi Arabian clan.\n'
 '^ False\n' 'A True\n' 'B False\n' '\n'
 '#Q Osama bin Laden is a striking figure, well over six feet tall.\n']"
"#Q Osama bin Laden is a striking figure, well over six feet tall.
",False,"['#Q Osama bin Laden is a striking figure, well over six feet tall.\n'
 '^ False\n' 'A False\n' 'B True\n' '\n'
 '#Q The first major act of terrorism attributed to bin Ladens al-Qaeda group was in 1998 when it blew up which of these?\n']"
"#Q The first major act of terrorism attributed to bin Ladens al-Qaeda group was in 1998 when it blew up which of these?
",U.S. embassies in Tanzania and Kenya,"['#Q The first major act of terrorism attributed to bin Ladens al-Qaeda group was in 1998 when it blew up which of these?\n'
 '^ U.S. embassies in Tanzania and Kenya\n'
 'A U.S. embassies in Tanzania and Kenya\n'
 'B USS Cole destroyer in Yemen\n'
 'C Khobar Towers housing complex in Dhahran, Saudi Arabia\n'
 'D a parking garage of the World Trade Center\n']"
"#Q How many al-Qaeda terrorists were involved in the near-destruction of the $1billion guided-missile destroyer USS Cole, which was protected by some 70 tons of armor shielding?
",2,"['#Q How many al-Qaeda terrorists were involved in the near-destruction of the $1billion guided-missile destroyer USS Cole, which was protected by some 70 tons of armor shielding?\n'
 '^ 2\n' 'A 1\n' 'B 2\n' 'C 10\n' 'D 5\n']"
"#Q How many days before 9/11 did George W. Bush receive a Presidents Daily Brief intelligence report entitled Bin Laden Determined to Strike in U.S.?
",35 days,"['#Q How many days before 9/11 did George W. Bush receive a Presidents Daily Brief intelligence report entitled Bin Laden Determined to Strike in U.S.?\n'
 '^ 35 days\n' 'A 365 days\n' 'B 90 days\n' 'C 200 days\n' 'D 35 days\n']"
"#Q What country did Osama bin Laden live in and operate al-Qaeda from before he found sanctuary back in Afghanistan?
",Sudan,"['#Q What country did Osama bin Laden live in and operate al-Qaeda from before he found sanctuary back in Afghanistan?\n'
 '^ Sudan\n' 'A Sudan\n' 'B Saudi Arabia\n' 'C Yemen\n' 'D Iraq\n']"
"#Q Which of the following proved to be the greatest obstacle to saving lives in New York Citys 9/11 rescue efforts at the World Trade Center towers?
",outdated fire department radios,"['#Q Which of the following proved to be the greatest obstacle to saving lives in New York Citys 9/11 rescue efforts at the World Trade Center towers?\n'
 '^ outdated fire department radios\n' 'A poor building design\n'
 'B lack of disaster training\n' 'C outdated fire department radios\n'
 'D poor leadership\n']"
"#Q What American product from the 50s was advertised with roadside signs reading slogans such as:
",The place to pass,"['#Q What American product from the 50s was advertised with roadside signs reading slogans such as:\n'
 'The place to pass\n' 'On curves\n' 'You know\n' 'Is only at\n'
 'A beauty show?\n']"
"#Q Which is the most accurate number of casualties (including killed, wounded or lost) of World War II?
","16,354,000","['#Q Which is the most accurate number of casualties (including killed, wounded or lost) of World War II?\n'
 '^ 16,354,000\n' 'A 11,147,000\n' 'B 16,354,000\n' 'C 7,457,000\n'
 'D 9,127,000\n']"
"#Q In 1942 there was a terrible ammonium nitrate explosion that killed 20 people. Where did it occur?
","Cleveland, Ohio","['#Q In 1942 there was a terrible ammonium nitrate explosion that killed 20 people. Where did it occur?\n'
 '^ Cleveland, Ohio\n' 'A Cleveland, Ohio\n' 'B Tesserendo, Belgium\n'
 'C in the Atlantic Ocean on a cargo ship\n' 'D Ludwig ,Germany\n']"
"#Q Which statement is true about Pete Gray, who played outfield for the St. Louis Browns during World War II?
",Gray had only one arm.,"['#Q Which statement is true about Pete Gray, who played outfield for the St. Louis Browns during World War II?\n'
 '^ Gray had only one arm.\n' 'A Gray was legally  blind in one  eye.\n'
 'B Gray had only one arm.\n'
 'C Gray was the only person to lead in home runs while playing for a last place  team.\n'
 'D During this period Gray was the only  player to hit 50 homers in one  year.\n']"
"#Q What did Walter Morrison invent in 1948?
",the Frisbee,"['#Q What did Walter Morrison invent in 1948?\n' '^ the Frisbee\n'
 'A the Frisbee\n' 'B the microwave\n' 'C Doppler Radar\n'
 'D the solar battery\n']"
"#Q Which of these events did not  occur in 1947?
",The United Nations is founded.,"['#Q Which of these events did not  occur in 1947?\n'
 '^ The United Nations is founded.\n'
 'A The Dead Sea Scrolls are found.\n'
 'B Chuck Yeager breaks the sound barrier.\n'
 'C The United Nations is founded.\n'
 'D The Polaroid Camera is invented.\n']"
"#Q Which of these did not happen in 1941?
",The microwave was invented,"['#Q Which of these did not happen in 1941?\n'
 '^ The microwave was invented\n' 'A The siege of Leningrad began.\n'
 'B Mount Rushmore was finished.\n' 'C The Jeep was invented.\n'
 'D The microwave was invented\n']"
"#Q Which statement is untrue about Jackie Robinson, who broke the color barrier in professional baseball in 1947?
","When Walter Alston signed him, both Alston and Robinson received death threats.","['#Q Which statement is untrue about Jackie Robinson, who broke the color barrier in professional baseball in 1947?\n'
 '^ When Walter Alston signed him, both Alston and Robinson received death threats.\n'
 'A He also integrated the city of Stamford, Connecticut.\n'
 'B His older brother was considered the best athlete in the family but was forced to take a job as a sanitation worker in Los Angeles because of segregation.\n'
 'C He played three sports for UCLA.\n'
 'D When Walter Alston signed him, both Alston and Robinson received death threats.\n']"
"#Q In the 1940s the USA began  the Manhattan Project to build the first Atomic bomb. The first part of this project  was to split the atom. It was accomplished by a team led by great Enricco Fermi. Where was it done?
","Chicago, Illinois.","['#Q In the 1940s the USA began  the Manhattan Project to build the first Atomic bomb. The first part of this project  was to split the atom. It was accomplished by a team led by great Enricco Fermi. Where was it done?\n'
 '^ Chicago, Illinois.\n' 'A Chicago, Illinois.\n'
 'B Roswell, New Mexico.\n' 'C Bikini Atoll, Marshall Islands.\n'
 'D Los Arbeles, Arizona.\n']"
"#Q The 1945 Nobel Prize in Physiology and Medicine went to three men from Oxford University who played a significant role in the discovery and development of penicillin and its use as an antibiotic. Which of these scientists did not share this prize?
",Paul Winchell,"['#Q The 1945 Nobel Prize in Physiology and Medicine went to three men from Oxford University who played a significant role in the discovery and development of penicillin and its use as an antibiotic. Which of these scientists did not share this prize?\n'
 '^ Paul Winchell\n' 'A Sir Howard Walter Florey\n'
 'B Ernst Boris Chain\n' 'C Sir Alexander Fleming\n' 'D Paul Winchell\n']"
"#Q Which famous metaphor did Winston Churchill use in the 1940s to describe what Russia did to Eastern Europe after WWII?
",The Iron Curtain,"['#Q Which famous metaphor did Winston Churchill use in the 1940s to describe what Russia did to Eastern Europe after WWII?\n'
 '^ The Iron Curtain\n' 'A The Russian Winter of  No Dissent.\n'
 'B The Soviet Bloc\n' 'C The Soviet Gulags\n' 'D The Iron Curtain\n']"
"#Q There was fighting in the Revolutionary War for more than a year before the United States declared independence from Britain.
",True,"['#Q There was fighting in the Revolutionary War for more than a year before the United States declared independence from Britain.\n'
 '^ True\n' 'A False\n' 'B True\n' '\n'
 '#Q Where were the first shots of the American Revolutionary War fired?\n']"
"#Q Where were the first shots of the American Revolutionary War fired?
","Lexington, Massachusetts","['#Q Where were the first shots of the American Revolutionary War fired?\n'
 '^ Lexington, Massachusetts\n' 'A Charleston, South Carolina\n'
 'B Lexington, Massachusetts\n' 'C near the city of New York\n'
 'D Newark, New Jersey\n']"
"#Q What term refers to the body of delegates from the colonies who met during the Revolutionary War until a constitutional government was finally formed near the end of the war?
",The Continental Congress,"['#Q What term refers to the body of delegates from the colonies who met during the Revolutionary War until a constitutional government was finally formed near the end of the war?\n'
 '^ The Continental Congress\n' 'A the Council of States\n'
 'B the Executive Committee of the United States\n'
 'C The Continental Congress\n' 'D the Congress of the United Colonies\n']"
