,Question,Answer,Options,Correct
883,the speed of a car is 10 km in the first hour and 60 km in the second hour . what is the average speed of the car ?,35,"a ) 79 kmph , b ) 85 kmph , c ) 35 kmph , d ) 23 kmph , e ) 14 kmph",c
884,"how many integers between 324,700 and 436,600 have tens digit 1 and units digit 3 ?",1119,"a ) 327 , b ) 645 , c ) 987 , d ) 1119 , e ) 1339",d
885,"plaudia can choose any two of 4 different candles and any 8 of 9 different flowers for a centerpiece arrangement . given these choices , how many candle + flower groupings can she select ?",54,"a ) 54 , b ) 72 , c ) 96 , d ) 144 , e ) 432",a
886,"ifaequals the sum of the even integers from 2 to 20 , inclusive , andbequals the sum of the odd integers from 1 to 19 , inclusive , what is the value of a + b ?",210,"a ) 110 , b ) 100 , c ) 190 , d ) 200 , e ) 210",e
887,a car takes 6 hours to cover a distance of 540 km . how much should the speed in kmph be maintained to cover the same direction in 3 / 2 th of the previous time ?,60,"a ) 35 kmph , b ) 48 kmph , c ) 52 kmph , d ) 54 kmph , e ) 60 kmph",e
888,"how long will a boy take to run round a square field of side 50 meters , if he runs at the rate of 12 km / hr ?",60,"a ) 52 sec , b ) 45 sec , c ) 60 sec , d ) 25 sec , e ) 39 sec",c
889,a batsman in his 17 th innings makes a score of 85 and their by increasing his average by 3 . what is his average after the 17 th innings ?,37,"a ) 28 , b ) 27 , c ) 12 , d ) 37 , e ) 01",d
890,"running at the same constant rate , 6 identical machines can produce a total of 270 bottles per minute . at this rate , how many bottles could 5 such machines produce in 4 minutes ?",900,"a ) 900 , b ) 1,800 , c ) 2,700 , d ) 10,800 , e ) 64,800",a
891,"when a train travels at a speed of 70 kmph , it reaches the destination on time . when the same train travels at a speed of 50 kmph , it reaches its destination 15 min late . what is the length of journey ?",37.5,"a ) 37.5 km , b ) 50.5 km , c ) 60 km , d ) 85.5 km , e ) 95 km",a
892,"p , q and r have $ 9000 among themselves . r has two - thirds of the total amount with p and q . find the amount with r ?",3600,"a ) 2400 , b ) 3600 , c ) 3998 , d ) 2539 , e ) 1930",b
893,"the sum of the present ages of two persons a and b is 60 . if the age of a is twice that of b , find the sum of their ages 2 years hence ?",64,"a ) 58 , b ) 59 , c ) 64 , d ) 70 , e ) 74",c
894,what is the units digit of the expression 13 ^ 27 + 1 ?,8,"a ) 1 , b ) 3 , c ) 4 , d ) 8 , e ) 9",d
895,how long does a train 110 m long traveling at 60 kmph takes to cross a bridge of 340 m in length ?,27.00,"a ) 18.9 sec , b ) 88.9 sec , c ) 22.9 sec , d ) 27.00 sec , e ) 72.0 sec",d
896,"the cost price of 30 articles is the same as the selling price of x articles . if the profit is 25 % , what is x ?",24,"a ) 18 , b ) 20 , c ) 22 , d ) 24 , e ) 26",d
897,"a is two years older than b who is twice as old as c . if the total of the ages of a , b and c be 42 , the how old is b ?",16,"a ) 16 , b ) 9 , c ) 8 , d ) 11 , e ) 10",a
898,the product of 3 consecutive numbers is 210 . then the sum of the smallest two numbers is ?,11,"a ) 11 , b ) 15 , c ) 20 , d ) 38 , e ) 56",a
899,"how many integers between 263,205 and 658,805 have tens digit 1 and units digit 3 ?",3,"a ) 3,955 , b ) 3,925 , c ) 3,956 , d ) 3,926 , e ) 3,915",c
900,the diagonals of a rhombus are 11 cm and 20 cm . find its area ?,110,"a ) 329 , b ) 288 , c ) 150 , d ) 238 , e ) 110",e
901,a man can row his boat with the stream at 36 km / h and against the stream in 8 km / h . the man ' s rate is ?,14,"a ) 1 kmph , b ) 6 kmph , c ) 7 kmph , d ) 14 kmph , e ) 9 kmph",d
902,"ashok secured average of 75 marks in 6 subjects . if the average of marks in 5 subjects is 74 , how many marks did he secure in the 6 th subject ?",80,"a ) 38 , b ) 27 , c ) 99 , d ) 17 , e ) 80",e
903,"a metallic sheet is of rectangular shape with dimensions 48 m x 36 m . from each of its corners , a square is cut off so as to make an open box . if the length of the square is 5 m , the volume of the box ( in m 3 ) is :",4940,"a ) 4940 , b ) 5120 , c ) 6420 , d ) 8960 , e ) 7960",a
904,"a rectangular lawn of dimensions 80 m * 60 m has two roads each 15 m wide running in the middle of the lawn , one parallel to the length and the other parallel to the breadth . what is the cost of traveling the two roads at rs . 3 per sq m ?",5625,"a ) a ) 3820 , b ) b ) 930 , c ) c ) 9309 , d ) d ) 3900 , e ) e ) 5625",e
905,"a rectangular plot measuring 90 metres by 50 metres is to be enclosed by wire fencing . if the poles of the fence are kept 4 metres apart , how many poles will be needed ?",70,"['a ) 55', 'b ) 70', 'c ) 57', 'd ) 58', 'e ) none of these']",b
906,"if the capacity of a cylindrical tank is 1848 m 3 and the diameter of its base is 14 m , then find the depth of the tank .",12,"['a ) 10', 'b ) 11', 'c ) 12', 'd ) 13', 'e ) none of them']",c
907,"if a train , travelling at a speed of 160 kmph , crosses a pole in 18 sec , then the length of train is ?",800,"a ) 800 , b ) 125 , c ) 288 , d ) 266 , e ) 121",a
908,a tank is 25 m long 12 m wide and 6 m deep . the cost of plastering its walls and bottom at 45 paise per sq m is,334.80,"a ) rs . 234.80 , b ) rs . 334.80 , c ) rs . 434.80 , d ) rs . 534.80 , e ) none of these",b
909,"a man rows his boat 120 km downstream and 60 km upstream , taking 2 hours each time . find the speed of the stream ?",15,"a ) 6 , b ) 15 , c ) 17 , d ) 18 , e ) 2",b
910,"my grandson is about as many days as my son in weeks , and my grandson is as many months as i am in years . my grandson , my son and i together are 150 years . can you tell my son age in years ?",53,"a ) 63 years , b ) 60 years , c ) 50 years , d ) 53 years , e ) 46 years",d
911,"in a race of 1000 m , a can beat by 100 m , in a race of 800 m , b can beat c by 100 m . by how many meters will a beat c in a race of 900 m ?",191.25,"a ) 122.9 m , b ) 127.5 m . , c ) 191.25 m , d ) 222.9 m , e ) 12289 m",c
912,"if rs . 7500 are borrowed at c . i at the rate of 4 % per annum , then after 3 years the amount to be paid is ?",8436,"a ) 3377 , b ) 2688 , c ) 2688 , d ) 8436 , e ) 1268",d
913,two friends decide to get together ; so they start riding bikes towards each other . they plan to meet halfway . each is riding at 6 mph . they live 36 miles apart . one of them has a pet carrier pigeon and it starts flying the instant the friends start traveling . the pigeon flies back and forth at 21 mph between the 2 friends until the friends meet . how many miles does the pigeon travel ?,63,"a ) 54 , b ) 66 , c ) 68 , d ) 60 , e ) 63",e
914,"the sum of number of boys and girls in a school is 400 . if the number of boys is x , then the number of girls becomes x % of the total number of students . the number of boys is ?",80,"a ) 50 , b ) 40 , c ) 60 , d ) 80 , e ) 70",d
915,"the h . c . f . of two numbers is 12 and their l . c . m . is 600 . if one of the number is 30 , find the other ?",240,"a ) 100 , b ) 240 , c ) 120 , d ) 200 , e ) 150",b
916,for covering 88 km a wheel revolve 1000 times . what is the radius of wheel ?,28,"a ) 14 m , b ) 24 m , c ) 28 m , d ) 40 m , e ) none of the above",c
917,a car covers a distance of 642 km in 6 ½ hours . find its speed ?,107,"a ) 104 kmph , b ) 176 kmph , c ) 298 kmph , d ) 186 kmph , e ) 107 kmph",e
918,a can complete a certain job in 18 days . b is 80 % more efficient than a . in how many days can b complete the same job ?,10,"a ) 6 , b ) 6.25 , c ) 7 , d ) 7.5 , e ) 10",e
919,"i sold a book at a profit of 12 % . had i sold it for $ 18 more , 18 % would have been gained . find the cost price ?",300,"a ) $ 100 , b ) $ 250 , c ) $ 300 , d ) $ 200 , e ) $ 180",c
920,the speed of a boat in still water is 20 km / hr and the rate of current is 5 km / hr . the distance travelled downstream in 21 minutes is :,8.75,"a ) 9.75 , b ) 5.75 , c ) 8.75 , d ) 6.75 , e ) 5.15",c
921,"a retailer buys 40 pens at the market price of 36 pens from a wholesaler , if he sells these pens giving a discount of 1 % , what is the profit % ?",10,"a ) 5 , b ) 10 , c ) 15 , d ) 20 , e ) none of them",b
922,given a circular wheel of 3.62 m radius how many revolutions will the will make to travel a distance of 1 km ?,22754.3,"a ) 22754.3 , b ) 22254.2 , c ) 25754.2 , d ) 22753.2 , e ) 22254.2",a
923,find the least number must be subtracted from 427398 so that remaining no . is divisible by 15 ?,3,"a ) 2 , b ) 3 , c ) 5 , d ) 7 , e ) 8",b
924,"if the true discount on a sum due 2 years hence at 14 % per annum be rs . 168 , the sum due is :",768,"a ) rs . 768 , b ) rs . 968 , c ) rs . 1960 , d ) rs . 2400 , e ) none",a
925,"the difference between the ages of two persons is 30 years . fifteen years ago , the elder one was twice as old as the younger one . the present age of the younger person is ?",45,"a ) 30 yr , b ) 25 yr , c ) 45 yr , d ) 40 yr , e ) 50 yr",c
926,"a store owner estimates that the average price of type a products will increase by 20 % next year and that the price of type b products will increase by 11 % next year . this year , the total amount paid for type a products was $ 3500 and the total price paid for type b products was $ 8600 . according to the store owner ' s estimate , and assuming the number of products purchased next year remains the same as that of this year , how much will be spent for both products next year ?",13,"a ) $ 13,746 , b ) $ 15,325 , c ) $ 16,000 , d ) $ 16,225 , e ) $ 17,155",a
927,"a soft drink company had 6000 small and 10000 big bottles in storage . if 12 % of small 15 % of big bottles have been sold , then the total bottles remaining in storage is",13780,"a ) 15360 , b ) 13780 , c ) 15060 , d ) 14930 , e ) 16075",b
928,the average marks of 25 students in a class is 100 . but a student mark is wrongly noted as 60 instead of 10 then find the correct average marks ?,98,"a ) a ) 78 , b ) b ) 82 , c ) c ) 98 , d ) d ) 91 , e ) e ) 85",c
929,"what is the sum of the local values of the digits 2 , 3 , 4 , 5 in the number 2345 ?",2345,"a ) 2345 , b ) 4500 , c ) 5000 , d ) 6000 , e ) 7000",a
930,"a started a business with an investment of rs . 70000 and after 6 months b joined him investing rs . 120000 . if the profit at the end of a year is rs . 91000 , then the share of b is ?",42000,"a ) a ) 44500 , b ) b ) 42000 , c ) c ) 44098 , d ) d ) 43007 , e ) e ) 44098",b
931,54671 - 14456 - 33490 = ?,6725,"a ) 2449 , b ) 5449 , c ) 6749 , d ) 6725 , e ) 6468",d
932,"if p and q are positive integers each greater than 1 , and 17 ( p + 1 ) = 28 ( q + 1 ) , what is the least possible value of p + q ?",43,"a ) 36 , b ) 42 , c ) 44 , d ) 43 , e ) none",d
933,what is the area of square field whose side of length 8 m ?,64,"a ) 225 , b ) 64 , c ) 772 , d ) 882 , e ) 21",b
934,"a thief is spotted by a policeman from a distance of 225 meters . when the policeman starts the chase , the thief also starts running . if the speed of the thief be 8 km / hr and that of the policeman 10 km / hr , how far the thief will have run before he is overtaken ?",900,"a ) 350 m , b ) 200 m , c ) 400 m , d ) 900 m , e ) none of them",d
935,"mary works 9 hours per day on monday , wednesday and friday , and 5 hours per day on tuesday and thursday . she does not work on saturday and sunday . she earns $ 407 per week . how much does she earn in dollars per hour ?",11,"a ) 12 , b ) 10 , c ) 9 , d ) 8 , e ) 11",e
936,when a number is divided by 4 & then multiply by 12 the answer is 9 what is the no . ?,3,"a ) 3 , b ) 5 , c ) 5.6 , d ) 5.7 , e ) 6.5",a
937,"a toy store ' s revenue in november was 3 / 5 of its revenue in december and its revenue in january was 3 / 4 of its revenue in november , then the store ' s revenue in december was how many times the average ( arithmetic mean ) of its revenues in november and january ?",2,"a ) 1 / 4 , b ) 1 / 2 , c ) 2 / 3 , d ) 2 , e ) 4",d
938,"of the goose eggs laid at a certain pond , 1 / 4 hatched and 4 / 5 of the geese that hatched from those eggs survived the first month . of the geese that survived the first month , 2 / 5 did not survive the first year . if 120 geese survived the first year and if no more than one goose hatched from each egg , how many goose eggs were laid at the pond ?",1000,"a ) 600 , b ) 700 , c ) 800 , d ) 900 , e ) 1000",e
939,calculate the average of first 18 even numbers is ?,19,"a ) 21 , b ) 29 , c ) 19 , d ) 14 , e ) 10",c
940,"an empty fuel tank with a capacity of 200 gallons was filled partially with fuel a and then to capacity with fuel b . fuel a contains 12 % ethanol by volume and fuel b contains 16 % ethanol by volume . if the full fuel tank contains 22 gallons of ethanol , how many gallons of fuel a were added ?",250,"a ) 160 , b ) 150 , c ) 250 , d ) 80 , e ) 50",c
941,"in a class of 36 students 26 play football and play 20 long tennis , if 17 play above , many play neither ?",7,"a ) 7 , b ) 8 , c ) 10 , d ) 12 , e ) 14",a
942,"on dividing a number by 56 , we get 29 as remainder . on dividing the same number by 8 , what will be the remainder ?",5,"a ) 5 , b ) 7 , c ) 9 , d ) 11 , e ) 12",a
943,"given that p is a positive even integer with a positive units digit , if the units digit of p ^ 3 minus the units digit of p ^ 2 is equal to 0 , what is the units digit of p + 2 ?",8,"a ) 7 , b ) 8 , c ) 9 , d ) 10 , e ) 11",b
944,dan ' s age after 18 years will be 5 times his age 6 years ago . what is the present age of dan ?,12,"a ) 8 , b ) 10 , c ) 12 , d ) 14 , e ) 16",c
945,"the end of a blade on an airplane propeller is 10 feet from the center . if the propeller spins at the rate of 1,980 revolutions per second , how many miles will the tip of the blade travel in one minute ? ( 1 mile = 5,280 feet )",450,"a ) 200 π , b ) 450 π , c ) 300 π , d ) 480 π , e ) 1,200 π",b
946,"if 5 % more is gained by selling an article for rs . 420 than by selling it for rs . 380 , the cost of the article is ?",800,"a ) 500 , b ) 688 , c ) 200 , d ) 121 , e ) 800",e
947,the area of a square is equal to five times the area of a rectangle of dimensions 36 cm * 20 cm . what is the perimeter of the square ?,240,"a ) 289 cm , b ) 800 cm , c ) 829 cm , d ) 240 cm , e ) 289 cm",d
948,"each of the 39 points is placed either inside or on the surface of a perfect sphere . if 72 % or fewer of the points touch the surface , what is the maximum number of segments which , if connected from those points to form chords , could be the diameter of the sphere ?",14,"a ) 7 , b ) 11 , c ) 13 , d ) 14 , e ) 38",d
949,"in the coordinate plane , one of the vertices of a square is the point ( - 4 , - 4 ) . if the diagonals of that square intersect at point ( 3 , 2 ) , what is the area of that square ?",196,"a ) 180 , b ) 196 , c ) 160 , d ) 164 , e ) 172",b
950,a policeman noticed a criminal from a distance of 180 km . the criminal starts running and the policeman chases him . the criminal and the policeman run at the rate of 8 km and 10 km per hour respectively . what is the distance between them after 3 minutes ?,80,"a ) 100 m , b ) 80 m , c ) 130 m , d ) 150 m , e ) none of these",b
951,"a square mirror has exactly half the area of the rectangular wall on which it is hung . if each side of the mirror is 24 inches and the width of the wall is 42 inches , what is the length of the wall , in inches ?",27.4,"a ) 21.4 , b ) 23.4 , c ) 25.4 , d ) 26.4 , e ) 27.4",e
952,"if 22 men do a work in 55 days , in how many days will 10 men do it ?",121,"a ) 121 , b ) 123 , c ) 119 , d ) 125 , e ) 127",a
953,"the sum of digits of a two digit number is 10 , the difference between the digits is 6 . find the number",82,"a ) 85 , b ) 94 , c ) 82 , d ) 72 , e ) none",c
954,"tough and tricky questions : word problems . a salesman ' s income consists of commission and base salary . his weekly income totals over the past 5 weeks have been $ 406 , $ 413 , $ 420 , $ 436 and $ 395 . what must his average ( arithmetic mean ) income over the next two weeks be to decrease his average weekly income to $ 400 over the 7 - week period ?",365,"a ) $ 350 , b ) $ 400 , c ) $ 365 , d ) $ 385 , e ) $ 375",c
955,"a man walks at a rate of 10 mph . after every ten miles , he rests for 6 minutes . how much time does he take to walk 40 miles ?",258,"a ) 258 , b ) 318 , c ) 322 , d ) 324 , e ) 330",a
956,"while working alone at their constant rates , computer x can process 240 files in 12 hours , and computer y can process 240 files in 4 hours . if all files processed by these computers are the same size , how many hours would it take the two computers , working at the same time at their respective constant rates , to process a total of 240 files ?",3,"a ) 2 , b ) 2.4 , c ) 2.7 , d ) 3 , e ) 3.5",d
957,"let s be the set of all positive integers that , when divided by 8 , have a remainder of 5 . what is the 72 th number in this set ?",573,"a ) 573 , b ) 608 , c ) 613 , d ) 616 , e ) 621",a
958,how many positive integers will divide evenly into 190 ?,8,"a ) 4 , b ) 6 , c ) 8 , d ) 12 , e ) 16",c
959,"solution x is 10 percent alcohol by volume , and solution y is 30 percent alcohol by volume . how many milliliters of solution y must be added to 50 milliliters of solution x to create a solution that is 25 percent alcohol by volume ?",150,"a ) 150 , b ) 500 / 3 , c ) 400 , d ) 480 , e ) 600",a
960,"in a certain quiz that consists of 10 questions , each question after the first is worth 4 points more than the preceding question . if the 10 questions on the quiz are worth a total of 400 points , how many points is the third question worth ?",30,"a ) 14 , b ) 18 , c ) 22 , d ) 26 , e ) 30",e
961,"shipment - - - no . of defective chips / shipment - - - total chips in shipment s 1 - - - - - - - - - - - - - - - - - - - - - - 2 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 5000 s 2 - - - - - - - - - - - - - - - - - - - - - - 4 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 12000 s 3 - - - - - - - - - - - - - - - - - - - - - - 2 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 15000 s 4 - - - - - - - - - - - - - - - - - - - - - - 4 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 16000 a computer chip manufacturer expects the ratio of the number of defective chips to the total number of chips in all future shipments to equal the corresponding ratio for shipments s 1 , s 2 , s 3 , and s 4 combined , as shown in the table above . what ’ s the expected number of defective chips in a shipment of 60000 chips ?",15,"a ) 14 , b ) 20 , c ) 22 , d ) 24 , e ) 15",e
962,3 / 4 of 1 / 2 of 2 / 5 of 5020 = ?,753,"a ) 392 , b ) 229 , c ) 753 , d ) 493 , e ) 540",c
963,a train running at a speed of 36 kmph crosses an electric pole in 12 seconds . in how much time will it cross a 360 m long platform ?,48,"a ) 19 , b ) 27 , c ) 29 , d ) 48 , e ) 28",d
964,"an auto assembly plant performs 6 functions with each frame that arrives : add axles , add wheels to the axles , install the windshield to the frame , install the instrument panel , install the steering wheel , and install the interior seating . once those 6 tasks are performed , each car goes to a separate building for finishing touches . if these tasks can be arranged along a linear assembly line in any order , except that the axles must be installed before the wheels can be added , how many t ways can the assembly line be arranged ?",360,"a ) 120 , b ) 240 , c ) 360 , d ) 480 , e ) 720",c
965,three numbers are in the ratio 1 : 4 : 6 and their h . c . f is 9 . the numbers are :,24,"a ) 1 , 4,6 , b ) 12 , 24,36 , c ) 10 , 20 , 30 , d ) 12 , 24 , 36 , e ) 9 , 36,54 .",e
966,the average marks of a class of 30 students is 30 and that of another class of 50 students is 60 . find the average marks of all the students ?,48.75,"a ) 52.5 , b ) 52.9 , c ) 52.1 , d ) 48.75 , e ) 42.5",d
967,john purchased 1300 large bottles at $ 1.89 per bottle and 750 small bottles at $ 1.38 per bottle . what was the approximate average price paid per bottle ?,1.70,"a ) $ 1.63 , b ) $ 1.64 , c ) $ 1.68 , d ) $ 1.70 , e ) $ 1.76",d
968,"two consultants can type up a report in 12.5 hours and edit it in 7.5 hours . if mary needs 30 hours to type the report and jim needs 12 hours to edit it alone , how many hours q will it take if jim types the report and mary edits it immediately after he is done ?",41.4,"a ) 41.4 , b ) 34.1 , c ) 13.4 , d ) 12.4 , e ) 10.8",a
969,"if 2 ^ 4 , 3 ^ 3 , and 12 ^ 3 are factors of the product of 1,452 and w , where w is a positive integer , what is the smallest possible value of w ?",432,"a ) 198 , b ) 288 , c ) 432 , d ) 396 , e ) 484",c
970,"for all positive integers m and v , the expression m θ v represents the remainder when m is divided by v . what is the value of ( ( 94 θ 33 ) θ 17 ) - ( 96 θ ( 33 θ 17 ) ) ?",13,"a ) - 10 , b ) - 2 , c ) 8 , d ) 13 , e ) 17",d
971,"a sports equipment store sold ping pong rackets for a total of $ 735 . if the average ( arithmetic mean ) price of a pair of rackets is $ 9.8 , how many pairs were sold ?",75,"a ) 50 , b ) 100 , c ) 490 , d ) 500 , e ) 75",e
972,"john distributes his pencil among his 4 friends rose , mary , ranjan , and rohit in the ratio 1 / 3 : 1 / 3 : 1 / 4 : 1 / 5 . what is the minimum no . of pencils that the person should have ?",67,"a ) 45 , b ) 67 , c ) 70 , d ) 77 , e ) 98",b
973,"divide rs . 3250 among a , b and c so that a receives 1 / 5 as much as b and c together and b receives 2 / 3 as a and c together . b ' s share is ?",1300,"a ) 6500 , b ) 3250 , c ) 1100 , d ) 1300 , e ) 1200",d
974,the mean of 50 observations is 200 . but later he found that there is decrements of 15 from each observations . what is the the updated mean is ?,185,"a ) 150 , b ) 185 , c ) 190 , d ) 210 , e ) 220",b
975,"if the perimeter of a rectangular garden is 600 m , its length when its breadth is 150 m is ?",150,"a ) 150 m , b ) 899 m , c ) 200 m , d ) 166 m , e ) 187 m",a
976,a train 110 m long is running with a speed of 60 km / hr . in what time will it pass a trolley that is running with a speed of 12 km / hr in the direction opposite to that in which the train is going ?,5.5,"a ) 4.31 , b ) 6.75 , c ) 7.92 , d ) 5.5 , e ) 6.5",d
977,in a certain parallelogram the degree measure of one angle exceeds that of the other by 10 what is the degree measure of the smaller angle ?,85,"a ) 75 , b ) 80 , c ) 85 , d ) 90 , e ) 95",c
978,"the average of 10 numbers was calculated as 18 . it is discovered later on that while calculating the average , one number , namely 66 , was incorrectly read as 26 . what is the correct average ?",22,"a ) 20 , b ) 21 , c ) 22 , d ) 23 , e ) 24",c
979,"each child has 5 crayons and 14 apples . if there are 10 children , how many crayons are there in total ?",50,"a ) 22 , b ) 65 , c ) 12 , d ) 36 , e ) 50",e
980,what is the area of square field whose side of length 7 m ?,49,"a ) 225 , b ) 662 , c ) 772 , d ) 882 , e ) 49",e
981,"how many integers between 1 and 1050 are divisible by 10 , 25 , and 35 ?",3,"a ) 4 , b ) 5 , c ) 6 , d ) 7 , e ) 3",e
982,"5 pumps , working 9 hours a day , can empty a tank in 3 days . how many hours a day should 6 pumps work in order to empty the tank in 1 day ?",22.5,"a ) 20 hours , b ) 22.5 hours , c ) 23 hours , d ) 23.5 hours , e ) 24 hours",b
983,"if the average ( arithmetic mean ) of ( 2 a + 16 ) and ( 3 a - 8 ) is 79 , what is the value of a ?",30,"a ) 25 , b ) 30 , c ) 28 , d ) 36 , e ) 42",b
984,"we run a business that rents out canoes and kayaks . a canoe rental costs $ 12 per day , and a kayak rental costs $ 18 dollars per day . one day , our business rents out 3 canoes for every 2 kayaks and receives a total of $ 504 in revenue . how many more canoes than kayaks were rented out ?",7,"a ) 5 , b ) 6 , c ) 7 , d ) 8 , e ) 9",c
985,the average of runs of a cricket player of 20 innings was 32 . how many runs must he make in his next innings so as to increase his average of runs by 4 ?,116,"a ) 96 , b ) 106 , c ) 122 , d ) 116 , e ) 122",d
986,"a and b started a business in partnership investing rs . 20,000 and rs . 15,000 respectively . after 6 months , c joined them with rs . 20,000 . whatwill be b ' s share in total profit of rs . 22,000 earned at the end of 2 years from the startingof the business ?",00,"a ) s . 5,000 , b ) s . 5,500 , c ) s . 5,700 , d ) s . 6,600 , e ) s . 7,500",d
987,"x can do a piece of work in 8 hours . y and z together can do it in 6 hours , while x and z together can do it in 4 hours . how long will y alone take to do it ?",24,"a ) 24 hours , b ) 20 hours , c ) 34 hours , d ) 12 hours , e ) 10 hours",a
988,"a , b and c invested rs . 6300 , rs . 4200 and rs . 10500 respectively , in a partnership business . find the share of a in profit of rs . 13000 after a year ?",3900,"a ) 3630 , b ) 3900 , c ) 8828 , d ) 2387 , e ) 2813",b
989,"if two students starting from same point , walking in the opposite directions with 6 km / hr and 9 km / hr as average speeds respectively . then the distance between them after 4 hours is ?",60,"a ) 65 km , b ) 55 km , c ) 15 km , d ) 60 km , e ) 75 km",d
990,"dacid obtained 51 , 65 , 82 , 67 and 85 marks ( out of 100 ) in english , mathematics , physics , chemistry and biology . what are his average marks ?",70,"a ) 29 , b ) 38 , c ) 39 , d ) 70 , e ) 75",d
991,"70 percent of the members of a study group are women , and 40 percent of those women are lawyers . if one member of the study group is to be selected at random , what is the probability that the member selected is a woman lawyer ?",0.28,"a ) 0.28 , b ) 0.27 , c ) 0.25 , d ) 0.32 , e ) 0.35",a
992,"if two integers x , y ( x > y ) are selected from - 5 to 5 ( inclusive ) , how many cases are there ?",55,"a ) 55 , b ) 60 , c ) 65 , d ) 70 , e ) 75",a
993,"if x and y are positive integers and 5 + x + y + xy = 19 , what is the value of x + y ?",6,"a ) 3 , b ) 5 , c ) 6 , d ) 8 , e ) 9",c
994,"the cost price of a radio is rs . 1500 and it was sold for rs . 1260 , find the loss % ?",16,"a ) 18 , b ) 16 , c ) 26 , d ) 17 , e ) 11",b
995,"find the area of a cuboid of length 12 cm , breadth 6 cm . and height 10 cm .",720,"a ) 400 cm cube , b ) 410 cm cube , c ) 720 cm cube , d ) 730 cm cube , e ) 480 cm cube",c
996,"a , b and c started a business with capitals of rs . 8000 , rs . 10000 and rs . 12000 respectively . at the end of the year , the profit share of b is rs . 1900 . the difference between the profit shares of a and c is ?",760,"a ) 288 , b ) 760 , c ) 155 , d ) 600 , e ) 441",b
997,"the total marks obtained by a student in physics , chemistry and mathematics is 150 more than the marks obtained by him in physics . what is the average mark obtained by him in chemistry and mathematics ?",75,"a ) 75 , b ) 66 , c ) 55 , d ) 44 , e ) 12",a
998,a man buys a cycle for rs . 1400 and sells it at a loss of 18 % . what is the selling price of the cycle ?,1148,"a ) rs . 1148 , b ) rs . 1160 , c ) rs . 1190 , d ) rs . 1202 , e ) none",a
999,"if henry were to add 7 gallons of water to a tank that is already 3 / 4 full of water , the tank would be 7 / 8 full . how many gallons of water would the tank hold if it were full ?",56,"a ) 25 , b ) 40 , c ) 64 , d ) 80 , e ) 56",e
