question,answer,qA
"#Q In 1847 Veracruz, one of the most important Mexican seaports, was besieged for 20 days. The beginning of the siege was marked when this country conducted its first large-scale amphibious assault on it.
",The United States,"['#Q In 1847 Veracruz, one of the most important Mexican seaports, was besieged for 20 days. The beginning of the siege was marked when this country conducted its first large-scale amphibious assault on it.\n'
 '^ The United States\n' 'A France\n' 'B Argentina\n' 'C Great Britain\n'
 'D The United States\n']"
"#Q The siege of Sarajevo, one of  the longest sieges in the history of modern warfare lasted almost 4 years.
",True,"['#Q The siege of Sarajevo, one of  the longest sieges in the history of modern warfare lasted almost 4 years.\n'
 '^ True\n' 'A False\n' 'B True\n' '\n'
 '#Q German forces besieged the city of Leningrad for 900 days, trying to gain control without success. The bravery of the defenders of the city became the symbol of the Soviet struggle against Nazi Germany, but the exact number of Russian casualties is unknown- some estimate that 1.5 million people died, mostly of starvation. Which of these Soviet generals is credited with the defense of Leningrad?\n']"
"#Q German forces besieged the city of Leningrad for 900 days, trying to gain control without success. The bravery of the defenders of the city became the symbol of the Soviet struggle against Nazi Germany, but the exact number of Russian casualties is unknown- some estimate that 1.5 million people died, mostly of starvation. Which of these Soviet generals is credited with the defense of Leningrad?
",Marshal Zhukov,"['#Q German forces besieged the city of Leningrad for 900 days, trying to gain control without success. The bravery of the defenders of the city became the symbol of the Soviet struggle against Nazi Germany, but the exact number of Russian casualties is unknown- some estimate that 1.5 million people died, mostly of starvation. Which of these Soviet generals is credited with the defense of Leningrad?\n'
 '^ Marshal Zhukov\n' 'A Marshal Zhukov\n' 'B Marshal Timoshenko\n'
 'C Marshal Shaposhnikov\n' 'D Marshal Tukhachevsky\n']"
"#Q The Concert for Bangladesh was the first celebrity concert and musical project to raise money worldwide for the needy. Eric Clapton, Badfinger, Billy Preston and Ravi Shankar appeared. Bob Dylan made an unannounced appearance to play his first concert in two years. Who organized the Concert for Bangladesh?
",George Harrison,"['#Q The Concert for Bangladesh was the first celebrity concert and musical project to raise money worldwide for the needy. Eric Clapton, Badfinger, Billy Preston and Ravi Shankar appeared. Bob Dylan made an unannounced appearance to play his first concert in two years. Who organized the Concert for Bangladesh?\n'
 '^ George Harrison\n' 'A Willie Nelson\n' 'B Ringo Starr\n'
 'C George Harrison\n' 'D Bono\n']"
"#Q On April 30, 1975 Marine Master Sergeant John Valdez was the last Marine on the last helicopter out of this capital city. From what city did Master Sergeant Valdezs departure signal the last official military presence in Vietnam.
",Saigon,"['#Q On April 30, 1975 Marine Master Sergeant John Valdez was the last Marine on the last helicopter out of this capital city. From what city did Master Sergeant Valdezs departure signal the last official military presence in Vietnam.\n'
 '^ Saigon\n' 'A Phnom Penh\n' 'B Hanoi\n' 'C Khe Sanh\n' 'D Saigon\n']"
"#Q In what was billed as the Battle of the Sexes, tennis champ Billie Jean King didnt show any love as she won this match in straight sets. Who did Billie Jean King beat to win the Battle of the Sexes?
",Bobby Riggs,"['#Q In what was billed as the Battle of the Sexes, tennis champ Billie Jean King didnt show any love as she won this match in straight sets. Who did Billie Jean King beat to win the Battle of the Sexes?\n'
 '^ Bobby Riggs\n' 'A Vitas Gerulaitis\n' 'B Bobby Riggs\n'
 'C Bjorn Borg\n' 'D Jimmy Conners\n']"
"#Q On February 28, 1983 a record 105.9 million viewers tuned in to watch the last show of this programs eleven-year run.
",MASH,"['#Q On February 28, 1983 a record 105.9 million viewers tuned in to watch the last show of this programs eleven-year run.\n'
 '^ MASH\n' 'A Roots\n' 'B MASH\n' 'C Dallas\n' 'D Gunsmoke\n']"
"#Q First photographed by Richard Avedon, this campaign was one of the most famous and successful ad campaigns of the 70s. The ads features beautiful black and white photos of Judy Garland, Marlene Dietrich, Lauren Bacall and Barbra Streisand. What company asked the question What Becomes a Legend Most?
",Blackglama,"['#Q First photographed by Richard Avedon, this campaign was one of the most famous and successful ad campaigns of the 70s. The ads features beautiful black and white photos of Judy Garland, Marlene Dietrich, Lauren Bacall and Barbra Streisand. What company asked the question What Becomes a Legend Most?\n'
 '^ Blackglama\n' 'A Psychedelic Furs\n' 'B Famous Furs LTD\n'
 'C Blackglama\n' 'D Ritz Furs\n']"
"#Q It was just the musical chords of E and F played alternately back and forth but even to this day
",when you hear these chords you think DANGER. For what 1975 summer blockbuster did composer John Williams win an Oscar for Best Score?,"['#Q It was just the musical chords of E and F played alternately back and forth but even to this day\n'
 'when you hear these chords you think DANGER. For what 1975 summer blockbuster did composer John Williams win an Oscar for Best Score?\n'
 '^ Jaws\n' 'A Halloween\n' 'B Jaws\n' 'C E.T.\n']"
"#Q How many people were murdered as a result of the Salem Witch Trials?
",20,"['#Q How many people were murdered as a result of the Salem Witch Trials?\n'
 '^ 20\n' 'A 40\n' 'B 1000\n' 'C 2000\n' 'D 20\n']"
"#Q Durong the Salem Witch Trials, those accused of witchcraft were burned at the stake.
",False,"['#Q Durong the Salem Witch Trials, those accused of witchcraft were burned at the stake.\n'
 '^ False\n' 'A True\n' 'B False\n' '\n'
 '#Q How old was Giles Cory when he was pressed to death?\n']"
"#Q How old was Giles Cory when he was pressed to death?
",81,"['#Q How old was Giles Cory when he was pressed to death?\n' '^ 81\n'
 'A 74\n' 'B 103\n' 'C 81\n' 'D 29\n']"
"#Q Dorothy Good, who was the youngest person to be accused of witchcraft, was how old?
",4,"['#Q Dorothy Good, who was the youngest person to be accused of witchcraft, was how old?\n'
 '^ 4\n' 'A 12\n' 'B an infant\n' 'C 4\n' 'D 21\n']"
"#Q To what prominent religious group did the majority of people of Salem Village belong during the time of the notorious Salem witch trials in the 17th century?
",Puritans,"['#Q To what prominent religious group did the majority of people of Salem Village belong during the time of the notorious Salem witch trials in the 17th century?\n'
 '^ Puritans\n' 'A Calvinists\n' 'B Puritans\n' 'C Protestants\n'
 'D Catholics\n']"
"#Q Which well-known author changed his name as a result of the Salem Witch Trials?
",Nathaniel Hawthorn,"['#Q Which well-known author changed his name as a result of the Salem Witch Trials?\n'
 '^ Nathaniel Hawthorn\n' 'A Jane Austen\n' 'B Arthur Miller\n'
 'C Theodore Geisel\n' 'D Nathaniel Hawthorn\n']"
"#Q Witchcraft was used as the explanation for a sickness that afflicted some of the village girls in Salem. Historians now believe that the girls hallucinations may have been caused by eating moldy bread.
",True,"['#Q Witchcraft was used as the explanation for a sickness that afflicted some of the village girls in Salem. Historians now believe that the girls hallucinations may have been caused by eating moldy bread.\n'
 '^ True\n' 'A True\n' 'B False\n' '\n'
 '#Q Who was the first man to be accused of witchcraft?\n']"
"#Q Who was the first man to be accused of witchcraft?
",John Proctor,"['#Q Who was the first man to be accused of witchcraft?\n'
 '^ John Proctor\n' 'A Samuel Good\n' 'B Giles Cory\n' 'C John Proctor\n'
 'D George Burroughs\n']"
"#Q Death Hill was the name of the sight of execution during the Salem witch trials.
",False,"['#Q Death Hill was the name of the sight of execution during the Salem witch trials.\n'
 '^ False\n' 'A True\n' 'B False\n' '\n'
 '#Q John Walsh, host of Americas Most Wanted, is the father of kidnapped and murdered six-year-old, Adam Walsh.\n']"
"#Q John Walsh, host of Americas Most Wanted, is the father of kidnapped and murdered six-year-old, Adam Walsh.
",True,"['#Q John Walsh, host of Americas Most Wanted, is the father of kidnapped and murdered six-year-old, Adam Walsh.\n'
 '^ True\n' 'A True\n' 'B False\n' '\n'
 '#Q Li Ka Shing, a Hong Kong businessman and one of the worlds richest men, paid an extremely large ransom for the safe return of his son, Victor Li Tzar. How much did he pay?\n']"
"#Q Li Ka Shing, a Hong Kong businessman and one of the worlds richest men, paid an extremely large ransom for the safe return of his son, Victor Li Tzar. How much did he pay?
","134,000,000.00","['#Q Li Ka Shing, a Hong Kong businessman and one of the worlds richest men, paid an extremely large ransom for the safe return of his son, Victor Li Tzar. How much did he pay?\n'
 '^ 134,000,000.00\n' 'A $1,500,500.00\n' 'B 144,000,000.00\n'
 'C $125,000,000.00\n' 'D 134,000,000.00\n']"
"#Q The son of this famous singer was kidnapped on December 8, 1963 at Harrahs Lake Tahoe.
",Frank Sinatra,"['#Q The son of this famous singer was kidnapped on December 8, 1963 at Harrahs Lake Tahoe.\n'
 '^ Frank Sinatra\n' 'A Joey Bishop\n' 'B Dean Martin\n'
 'C Andy Williams\n' 'D Frank Sinatra\n']"
"#Q On May 2 1982,  the British nuclear submarine HMS Conqueror fired two torpedoes at the Argentine warship.  323 men of the 1,093 crew were killed on impact.
",General Belgrano,"['#Q On May 2 1982,  the British nuclear submarine HMS Conqueror fired two torpedoes at the Argentine warship.  323 men of the 1,093 crew were killed on impact.\n'
 '^ General Belgrano\n' 'A General Belgrano\n' 'B Bismarck\n'
 'C Fascination\n' 'D Lusitania\n']"
"#Q On July 30, 1865 along the beaches of California, off Crescent City, a summer storm developed and this ship came across a submerged pinnacle known as The Dragons Teeth.
",Brother Jonathan,"['#Q On July 30, 1865 along the beaches of California, off Crescent City, a summer storm developed and this ship came across a submerged pinnacle known as The Dragons Teeth.\n'
 '^ Brother Jonathan\n' 'A Titanic\n' 'B Saratoga\n' 'C Queen Mary\n'
 'D Brother Jonathan\n']"
"#Q Two years after Titanics tragic sinking - In the summer of 1914 - this ship started a journey from Quebec harbor to England.  A heavy fog hid the horizon and she was hit by the Storstad, a Norwegian collier. Only 465 of the 1500 people onboard survived.
",The Empress of Ireland,"['#Q Two years after Titanics tragic sinking - In the summer of 1914 - this ship started a journey from Quebec harbor to England.  A heavy fog hid the horizon and she was hit by the Storstad, a Norwegian collier. Only 465 of the 1500 people onboard survived.\n'
 '^ The Empress of Ireland\n' 'A Half Moon\n' 'B The Empress of Ireland\n'
 'C Queen Elizabeth\n' 'D Endeavour\n']"
"#Q This vessel sunk in lake Michigan in 1919, after a fire on board got out of control.
",Frank OConnor,"['#Q This vessel sunk in lake Michigan in 1919, after a fire on board got out of control.\n'
 '^ Frank OConnor\n' 'A Louisiana\n' 'B Carrington\n' 'C Fleetwing\n'
 'D Frank OConnor\n']"
"#Q In a shipwreck known as this, a Chinese merchant ship carrying  porcelain sank near an island in South Male Atoll In the 16th century.
",Guraidhoo Wreck,"['#Q In a shipwreck known as this, a Chinese merchant ship carrying  porcelain sank near an island in South Male Atoll In the 16th century.\n'
 '^ Guraidhoo Wreck\n' 'A Cape of Good Hope Wreck\n'
 'B Prazer E Allegria Wreck\n' 'C Persia Merchant Wreck\n'
 'D Guraidhoo Wreck\n']"
"#Q On May 7th, 1915 this famous ship was hit by a torpedo near the shore of Queenstown, Ireland. It sank in 15 minutes.
",Lusitania,"['#Q On May 7th, 1915 this famous ship was hit by a torpedo near the shore of Queenstown, Ireland. It sank in 15 minutes.\n'
 '^ Lusitania\n' 'A Andrea Doria\n' 'B Lusitania\n' 'C Britannic\n'
 'D Titanic\n']"
"#Q On November 8, 1843 this ship left Lisbon, Portugal, with 84 convicts and headed for Goa, India. Near Cape of Good Hope the ship was taken by a strong current and was driven too close to the shore. She then struck the reef off Muli Island in Mulaku Atoll.
",The Prazer e Allegria,"['#Q On November 8, 1843 this ship left Lisbon, Portugal, with 84 convicts and headed for Goa, India. Near Cape of Good Hope the ship was taken by a strong current and was driven too close to the shore. She then struck the reef off Muli Island in Mulaku Atoll.\n'
 '^ The Prazer e Allegria\n' 'A The Empress of Ireland\n' 'B Titanic\n'
 'C The Ravestein\n' 'D The Prazer e Allegria\n']"
"#Q During a hot night in  August 1658, this ship was wrecked on Maamakunudhoo Atoll, while en route to Bengal. There was a small treasure onboard this ship: eight chests of silver and gold from West Africa.
",The Persia Merchant,"['#Q During a hot night in  August 1658, this ship was wrecked on Maamakunudhoo Atoll, while en route to Bengal. There was a small treasure onboard this ship: eight chests of silver and gold from West Africa.\n'
 '^ The Persia Merchant\n' 'A The Persia Merchant\n' 'B Santa Maria\n'
 'C Adventure\n' 'D Queen Annes Revenge\n']"
"#Q Said unsinkable, this ship started her maiden voyage with 2,220 passengers aboard in 1912. Unfortunately this was her first and her last voyage - she hit an iceberg and sank.
",Titanic,"['#Q Said unsinkable, this ship started her maiden voyage with 2,220 passengers aboard in 1912. Unfortunately this was her first and her last voyage - she hit an iceberg and sank.\n'
 '^ Titanic\n' 'A The Empress of Ireland\n' 'B Titanic\n'
 'C Queen Annes Revenge\n' 'D Blackbeards Ship\n']"
"#Q On July 19, 1545 King Henry VIII prepared to watch the new pride of his fleet sail out to engage the French.  However, he ended up watching a disaster as this heavy ship heeled over and rapidly capsized when water poured into the lower gun ports.
",Mary Rose,"['#Q On July 19, 1545 King Henry VIII prepared to watch the new pride of his fleet sail out to engage the French.  However, he ended up watching a disaster as this heavy ship heeled over and rapidly capsized when water poured into the lower gun ports.\n'
 '^ Mary Rose\n' 'A Mary Rose\n' 'B Belgrano\n' 'C Queen Mary\n'
 'D Lusitania\n']"
"#Q The First Triumvirate is the name historians give to the unofficial political alliance between what three man?
","Marcus Licinius Crassus, Gnaeus Pompeius Magnus and Gaius Julius Caesar","['#Q The First Triumvirate is the name historians give to the unofficial political alliance between what three man?\n'
 '^ Marcus Licinius Crassus, Gnaeus Pompeius Magnus and Gaius Julius Caesar\n'
 'A Marcus Licinius Crassus, Gnaeus Pompeius Magnus and Gaius Julius Caesar\n'
 'B Gaius Julius Caesar, Anthony and Gnaeus Pompeius Magnus\n'
 'C Octavius, Lepidus and Anthony\n'
 'D Octavius, Lepidus and Gnaeus Pompeius Magnus\n']"
"#Q Which temperature scale came first, Fahrenheit or Celsius?
",Fahrenheit,"['#Q Which temperature scale came first, Fahrenheit or Celsius?\n'
 '^ Fahrenheit\n' 'A They were developed at  the same time\n'
 'B They were developed so close together that no one knows\n'
 'C Fahrenheit\n' 'D Celsius\n']"
"#Q In what year was slavery banned in the British colonies?
",1833,"['#Q In what year was slavery banned in the British colonies?\n'
 '^ 1833\n' 'A 1802\n' 'B 1833\n' 'C 1864\n' 'D 1865\n']"
"#Q Samuel Colt patented his revolver in this year, and later built the first industrialized firearm factory.
",1835,"['#Q Samuel Colt patented his revolver in this year, and later built the first industrialized firearm factory.\n'
 '^ 1835\n' 'A 1855\n' 'B 1825\n' 'C 1845\n' 'D 1835\n']"
"#Q Although it had been around for a long time, it was not until this person used chloroform, that it became a popular anesthetic.
",Queen Victoria,"['#Q Although it had been around for a long time, it was not until this person used chloroform, that it became a popular anesthetic.\n'
 '^ Queen Victoria\n' 'A Dr. Elizabeth Blackwell\n'
 'B Mary Todd Lincoln\n' 'C Queen Victoria\n' 'D Sarah Bernhard\n']"
"#Q The first photograph is considered to be an image produced by the French inventor Nic̩phore Ni̩pce, in what year?
",1826,"['#Q The first photograph is considered to be an image produced by the French inventor Nic̩phore Ni̩pce, in what year?\n'
 '^ 1826\n' 'A 1865\n' 'B 1546\n' 'C 1837\n' 'D 1826\n']"
"#Q When was the first internal combustion engine to run on a mixture of explosive gas and air designed?
",1859,"['#Q When was the first internal combustion engine to run on a mixture of explosive gas and air designed?\n'
 '^ 1859\n' 'A 1876\n' 'B 1794\n' 'C 1859\n' 'D 1879\n']"
"#Q The first Balfour Declaration, UKs committment to the establishment of a Jewish national home was issued in what year?
",1917,"['#Q The first Balfour Declaration, UKs committment to the establishment of a Jewish national home was issued in what year?\n'
 '^ 1917\n' 'A 1947\n' 'B 1936\n' 'C 1905\n' 'D 1917\n']"
"#Q Having been forgotten on the Treaty of Versailles and remaining legally at war, this country signed an official treaty with Germany, thus officially ending WW I .
",Andorra,"['#Q Having been forgotten on the Treaty of Versailles and remaining legally at war, this country signed an official treaty with Germany, thus officially ending WW I .\n'
 '^ Andorra\n' 'A Andorra\n' 'B Spain\n' 'C Portugal\n' 'D Luxembourg\n']"
"#Q What product was registered with the United States Patent and Trademark Office on October 27 in 1970, by the Van Brode Milling Company?
",Spork,"['#Q What product was registered with the United States Patent and Trademark Office on October 27 in 1970, by the Van Brode Milling Company?\n'
 '^ Spork\n' 'A Velcro\n' 'B Spork\n' 'C Crazy Glue\n' 'D Wonderball\n']"
"#Q This engineer, architect and industrialist invented the rotary lathe, used in plywood manufacturing.
",Immanuel Nobel,"['#Q This engineer, architect and industrialist invented the rotary lathe, used in plywood manufacturing.\n'
 '^ Immanuel Nobel\n' 'A Thomas Edison\n' 'B Alfred Nobel\n'
 'C Henry Ford\n' 'D Immanuel Nobel\n']"
"#Q This tool was originally made in Germany, but in 1896, after 5 years of hard work, Karl Elsener doubled its features.
",The Swiss army knife,"['#Q This tool was originally made in Germany, but in 1896, after 5 years of hard work, Karl Elsener doubled its features.\n'
 '^ The Swiss army knife\n' 'A The lawn sprinkler\n'
 'B The circular saw\n' 'C The Swiss army knife\n'
 'D The electric chair\n']"
"#Q This engineer, sometimes called The Father of Cool, invented the modern air conditioning system, soon after he graduated from Cornell University in 1901.
",Willis Carrier,"['#Q This engineer, sometimes called The Father of Cool, invented the modern air conditioning system, soon after he graduated from Cornell University in 1901.\n'
 '^ Willis Carrier\n' 'A Willis Carrier\n' 'B Thomas Adams\n'
 'C George Alcorn\n' 'D Andrew Alford\n']"
"#Q What object, often regarded as a symbol of American consumerism, was designed in 1957 by Don Featherstone, who was later awarded the Ig Nobel Prize, a parody of the Nobel Prize?
",The pink flamingo lawn ornament,"['#Q What object, often regarded as a symbol of American consumerism, was designed in 1957 by Don Featherstone, who was later awarded the Ig Nobel Prize, a parody of the Nobel Prize?\n'
 '^ The pink flamingo lawn ornament\n' 'A Velcro\n'
 'B The cordless router\n' 'C The smiley face\n'
 'D The pink flamingo lawn ornament\n']"
"#Q Peter Lymburner Robertson received a patent in 1909 for the invention of what tool?
",The square-headed screwdriver,"['#Q Peter Lymburner Robertson received a patent in 1909 for the invention of what tool?\n'
 '^ The square-headed screwdriver\n' 'A The electric chair\n'
 'B The automatic swimming pool filter\n'
 'C The swiveling lawn sprinkler\n' 'D The square-headed screwdriver\n']"
"#Q What device was invented in 1879 by James Ritty, the owner of a tavern in Dayton, Ohio?
",The cash register,"['#Q What device was invented in 1879 by James Ritty, the owner of a tavern in Dayton, Ohio?\n'
 '^ The cash register\n' 'A The electric chair\n' 'B The microwave oven\n'
 'C The jukebox\n' 'D The cash register\n']"
"#Q She was the first African American woman to get a patent. It was issued on July 14, 1885, for a cabinet bed.
",Sarah Goode,"['#Q She was the first African American woman to get a patent. It was issued on July 14, 1885, for a cabinet bed.\n'
 '^ Sarah Goode\n' 'A Bessie Coleman\n' 'B Rosemarry Donalds\n'
 'C Emily Edwards\n' 'D Sarah Goode\n']"
"#Q This American woman, who worked as a physical therapist, invented a device that could be used by veteran soldiers, who had lost their arms. It was an electrical apparatus that could deliver food through a tube.
",Bessie Blount Griffin,"['#Q This American woman, who worked as a physical therapist, invented a device that could be used by veteran soldiers, who had lost their arms. It was an electrical apparatus that could deliver food through a tube.\n'
 '^ Bessie Blount Griffin\n' 'A Billie M. Merriwether\n'
 'B Barbara Carruthers\n' 'C Bessie Blount Griffin\n' 'D Bethany Alcott\n']"
"#Q He was the inventor of condensed milk. In 1874 he died in Texas, in a county which was posthumously named after him.
",Gail Borden,"['#Q He was the inventor of condensed milk. In 1874 he died in Texas, in a county which was posthumously named after him.\n'
 '^ Gail Borden\n' 'A Immanuel Nobel\n' 'B Jack Johnson\n'
 'C Karl K. Schumlegel\n' 'D Gail Borden\n']"
"#Q What was the real name of General Stonewall Jackson?
",Thomas Jonathan Jackson,"['#Q What was the real name of General Stonewall Jackson?\n'
 '^ Thomas Jonathan Jackson\n' 'A Robert Edward Jackson\n'
 'B Thomas Jonathan Jackson\n' 'C Henry David Jackson\n'
 'D Nathan Bedford Jackson\n']"
"#Q Before the Civil War, Stonewall Jackson  was a professor of artillery and natural philosophy at which institute of higher learning?
",Virginia Military Institute,"['#Q Before the Civil War, Stonewall Jackson  was a professor of artillery and natural philosophy at which institute of higher learning?\n'
 '^ Virginia Military Institute\n' 'A West Point\n' 'B Sandhurst\n'
 'C Virginia Military Institute\n' 'D The Citadel\n']"
"#Q General Jackson acquired his nickname of Stonewall at which Civil War battle?
",Bull Run,"['#Q General Jackson acquired his nickname of Stonewall at which Civil War battle?\n'
 '^ Bull Run\n' 'A Seven Pines\n' 'B Chancellorsville\n' 'C Fair Oaks\n'
 'D Bull Run\n']"
"#Q Which general gave Stonewall Jackson his nickname?
",Barnard E. Bee,"['#Q Which general gave Stonewall Jackson his nickname?\n'
 '^ Barnard E. Bee\n' 'A Robert E. Lee\n' 'B Pierre G. Beauregard\n'
 'C Joseph Johnston\n' 'D Barnard E. Bee\n']"
"#Q During the early months of 1862, General Stonewall Jackson led a successful campaign in which region?
",The Shenandoah Valley,"['#Q During the early months of 1862, General Stonewall Jackson led a successful campaign in which region?\n'
 '^ The Shenandoah Valley\n' 'A Red River Valley\n'
 'B The Shenandoah Valley\n' 'C Tennessee Valley\n' 'D The Peninsula\n']"
"#Q Stonewall Jackson was wounded by his own men at which battle?
",Chancellorsville,"['#Q Stonewall Jackson was wounded by his own men at which battle?\n'
 '^ Chancellorsville\n' 'A Gettysburg\n' 'B Wilsons Creek\n'
 'C Chancellorsville\n' 'D New Market\n']"
"#Q Stonewall Jacksons mortal wound necessitated the amputation of which limb?
",left arm,"['#Q Stonewall Jacksons mortal wound necessitated the amputation of which limb?\n'
 '^ left arm\n' 'A right leg\n' 'B right arm\n' 'C left arm\n'
 'D left leg\n']"
"#Q Where was Stonewall Jacksons body buried?
","Lexington, VA","['#Q Where was Stonewall Jacksons body buried?\n' '^ Lexington, VA\n'
 'A West Point cemetery\n' 'B Lexington, VA\n'
 'C The Chancellorsville battlefield\n'
 'D Hollywood Cemetery in Richmond\n']"
"#Q General Stonewall Jackson did not participate at which of these battles?
",Gettysburg,"['#Q General Stonewall Jackson did not participate at which of these battles?\n'
 '^ Gettysburg\n' 'A White Oak Swamp\n' 'B Fredericksburg\n'
 'C Cross Keys\n' 'D Gettysburg\n']"
"#Q General Stonewall Jackson was a graduate of the Virginia Military Institute.
",False,"['#Q General Stonewall Jackson was a graduate of the Virginia Military Institute.\n'
 '^ False\n' 'A True\n' 'B False\n' '\n'
 '#Q The first evidence of human existence in Europe dates back to approximately how many years ago?\n']"
"#Q The first evidence of human existence in Europe dates back to approximately how many years ago?
",35 000,"['#Q The first evidence of human existence in Europe dates back to approximately how many years ago?\n'
 '^ 35 000\n' 'A 50 000\n' 'B 100 000\n' 'C 10 000\n' 'D 35 000\n']"
"#Q Homer set his epics in the last phase of the Bronze Age in ancient Greece. What is this phase called?
",Mycenaean Greece,"['#Q Homer set his epics in the last phase of the Bronze Age in ancient Greece. What is this phase called?\n'
 '^ Mycenaean Greece\n' 'A Archaic Greece\n' 'B Hellenistic Greece\n'
 'C Mycenaean Greece\n' 'D Classical Greece\n']"
"#Q Alexander the Great is a son of this European ruler.
",Philip II,"['#Q Alexander the Great is a son of this European ruler.\n'
 '^ Philip II\n' 'A Demetrius II\n' 'B Amyntas IV\n' 'C Theodosius I\n'
 'D Philip II\n']"
"#Q The First Triumvirate was a secret pact in Ancient Rome aimed at controlling the Republic. It was formed in the mid-1st century BC by three great men - Pompey, Crassus, and who else?
",Julius Caesar,"['#Q The First Triumvirate was a secret pact in Ancient Rome aimed at controlling the Republic. It was formed in the mid-1st century BC by three great men - Pompey, Crassus, and who else?\n'
 '^ Julius Caesar\n' 'A Julius Caesar\n' 'B Julio-Claudian\n'
 'C Octavian\n' 'D Mark Antony\n']"
"#Q Under what ruler was Christianity officially acknowledged in the Roman Empire?
",Constantine I,"['#Q Under what ruler was Christianity officially acknowledged in the Roman Empire?\n'
 '^ Constantine I\n' 'A Nero\n' 'B Diocletian\n' 'C Julian\n'
 'D Constantine I\n']"
"#Q In 395 the Roman Empire was divided into two: the Western Roman Empire centered around Ravenna, and the Eastern Roman Empire centered around Constantinople. Who was the last emperor of a united Roman Empire?
",Theodosius I,"['#Q In 395 the Roman Empire was divided into two: the Western Roman Empire centered around Ravenna, and the Eastern Roman Empire centered around Constantinople. Who was the last emperor of a united Roman Empire?\n'
 '^ Theodosius I\n' 'A Constantine II\n' 'B Romulus Augustus\n'
 'C Marcus Aurelius\n' 'D Theodosius I\n']"
"#Q The Roman empire was revived when Pope Leo III crowned a king of the Franks as Imperator Augustus on 25 December 800. Under what name is this king known?
",Charlemagne,"['#Q The Roman empire was revived when Pope Leo III crowned a king of the Franks as Imperator Augustus on 25 December 800. Under what name is this king known?\n'
 '^ Charlemagne\n' 'A William the Conqueror\n' 'B Louis the Pious\n'
 'C Charlemagne\n' 'D Alexander the Great\n']"
"#Q The Black Death, one of the deadliest infectious diseases in history,  took the lives of between 25-50 million people in Europe. What writer depicts the lives of people at that time?
",Giovanni Boccaccio in The Decameron,"['#Q The Black Death, one of the deadliest infectious diseases in history,  took the lives of between 25-50 million people in Europe. What writer depicts the lives of people at that time?\n'
 '^ Giovanni Boccaccio in The Decameron\n'
 'A Giovanni Boccaccio in The Decameron\n' 'B Dante in Divine Comedy\n'
 'C Erasmus in In Praise of Folly\n' 'D Sir Thomas More in Utopia\n']"
"#Q Who started the movement of Protestant Reformation in Europe?
",Martin Luther,"['#Q Who started the movement of Protestant Reformation in Europe?\n'
 '^ Martin Luther\n' 'A Martin Luther\n' 'B John Calvin\n' 'C Erasmus\n'
 'D Ulrich Zwingli\n']"
"#Q In what country did the Industrial Revolution start?
",Great Britain,"['#Q In what country did the Industrial Revolution start?\n'
 '^ Great Britain\n' 'A Germany\n' 'B Italy\n' 'C Great Britain\n'
 'D France\n']"
"#Q What did Joseph Woodland and  Bernard Silver patent in 1952?
",the barcode,"['#Q What did Joseph Woodland and  Bernard Silver patent in 1952?\n'
 '^ the barcode\n' 'A the velcro\n' 'B the Univac computer\n'
 'C the barcode\n' 'D Silly Putty\n']"
"#Q In the early 1950s, which of the following became the third country to have an atomic bomb?
",England,"['#Q In the early 1950s, which of the following became the third country to have an atomic bomb?\n'
 '^ England\n' 'A England\n' 'B France\n' 'C Russia(the USSR)\n'
 'D The Peoples Republic of China\n']"
"#Q Which event did not occur in the same year as the other three?
",Theodore Geisel writes Cat in the Hat.,"['#Q Which event did not occur in the same year as the other three?\n'
 '^ Theodore Geisel writes Cat in the Hat.\n'
 'A UNIVAC becomes the first mass-produced computer.\n'
 'B Color Television is introduced.\n'
 'C Theodore Geisel writes Cat in the Hat.\n'
 'D Atomic power is introduced.\n']"
"#Q Which event did not occur in the 1950s?
",Bobby Fisher becomes the World Champion in chess.,"['#Q Which event did not occur in the 1950s?\n'
 '^ Bobby Fisher becomes the World Champion in chess.\n'
 'A TANG breakfast drink is introduced.\n'
 'B Bobby Fisher becomes the World Champion in chess.\n'
 'C The Frisbee is successfully marketed in the USA.\n'
 'D The first successful test of a hydrogen bomb was done at Enewetak\n']"
"#Q In 1957 Jimmy Hoffa became president of which union?
",International Brotherhood of Teamsters,"['#Q In 1957 Jimmy Hoffa became president of which union?\n'
 '^ International Brotherhood of Teamsters\n'
 'A American Brotherhood of Coal Miners\n' 'B The AFL-CIO\n'
 'C United Federation of Teachers\n'
 'D International Brotherhood of Teamsters\n']"
"#Q Which US space ship discovered the Van Allen Radiation Belt in 1958?
",Explorer I,"['#Q Which US space ship discovered the Van Allen Radiation Belt in 1958?\n'
 '^ Explorer I\n' 'A Explorer I\n' 'B Telstar I\n' 'C Titan I\n'
 'D Apollo I\n']"
"#Q What was Elvis Presleys first motion picture?
",Love Me Tender,"['#Q What was Elvis Presleys first motion picture?\n' '^ Love Me Tender\n'
 'A Love Me Tender\n' 'B Giant\n' 'C Viva Las Vegas\n'
 'D Jailhouse Rock\n']"
