Problem,Rationale,options,correct,annotated_formula,linear_formula,category
"if * stands for / , / stands for - , + stands for * and - stands for + , then 9 / 8 * 7 + 5 - 10 = ?",9 / 8 * 7 + 5 - 10 this expression becomes 9 - 8 / 7 * 5 + 10 after exchanging the symbols then the values for it would be 9 - 1.142 * 5 + 10 = 13.290 ( app ) = 13.3 answer : a,"a ) 13.3 , b ) 10.8 , c ) 10.7 , d ) 11.4 , e ) 12.5",a,"add(10, subtract(9, multiply(divide(8, 7), 5)))","divide(n1,n2)|multiply(n3,#0)|subtract(n0,#1)|add(n4,#2)",general
"hcf and lcm two numbers are 12 and 396 respectively . if one of the numbers is 36 , then the other number is ?","""12 * 396 = 36 * x x = 132 answer : c""","a ) 36 , b ) 66 , c ) 132 , d ) 264 , e ) 152",c,"divide(multiply(12, 396), 36)","multiply(n0,n1)|divide(#0,n2)|",physics
what is the tens digit of 36 ^ 30 ?,"""36 ^ 10 = 6 ^ 20 ( 6 ^ 2 ) = 6 * 6 = 36 ( 6 ^ 3 ) = 36 * 6 = . 16 ( 6 ^ 4 ) = . 16 * 6 = . . 96 ( 6 ^ 5 ) = . . 96 * 6 = . . 76 ( 6 ^ 6 ) = . . 76 * 6 = . . . 56 ( 6 ^ 7 ) = . . . . 56 * 6 = . . . . 36 if you see there is a pattern here in tens digits 3 , 1,9 , 7,5 , 3,1 and so on . . . continue the pattern up to 6 ^ 30 ( dont actually calculate full values ) and answer is b : 7""","a ) 1 , b ) 7 , c ) 5 , d ) 3 , e ) 9",b,"floor(divide(reminder(power(36, reminder(30, add(const_4, const_1))), const_100), const_10))","add(const_1,const_4)|reminder(n1,#0)|power(n0,#1)|reminder(#2,const_100)|divide(#3,const_10)|floor(#4)|",general
"a 4 digit number is such that the product of all of its digits is 126 . the sum of all the digits is equal to the 2 digit number formed by using thousands digit and tens digit ( 1000 digit in tens place & 10 digit in units place ) which in turn is equal to 19 . then difference of units and 1000 place of the number is , given that this difference is positive .","the number is 1792 . let the number be represented as 1000 x + 100 y + 10 z + t acc to ques , xyzt = 126 x + y + z + t = 10 x + z = 19 so , number in thousands and tens place are 1 and 9 respectively . the remaining factor is 14 which is 7 * 2 so the number is 1792 . answer : b","a ) 1692 , b ) 1792 , c ) 1795 , d ) 1892 , e ) 1992",b,"add(add(add(const_1000, multiply(divide(divide(126, subtract(19, const_10)), 2), const_100)), multiply(subtract(19, const_10), const_10)), 2)","subtract(n5,const_10)|divide(n1,#0)|multiply(#0,const_10)|divide(#1,n2)|multiply(#3,const_100)|add(#4,const_1000)|add(#5,#2)|add(n2,#6)",general
"p and q started a business investing rs . 54,000 and rs . 18,000 respectively . in what ratio the profit earned after 2 years be divided between p and q respectively ?","""p : q = 54000 : 18000 = 3 : 1 . answer : a""","a ) 3 : 1 , b ) 4 : 3 , c ) 5 : 4 , d ) 6 : 5 , e ) 17 : 4",a,"divide(add(multiply(add(add(2, const_3), const_3), multiply(add(2, const_3), 2)), add(2, const_3)), add(multiply(const_3, multiply(add(2, const_3), 2)), add(2, const_3)))","add(n2,const_3)|add(#0,const_3)|multiply(n2,#0)|multiply(#1,#2)|multiply(#2,const_3)|add(#0,#3)|add(#0,#4)|divide(#5,#6)|",gain
"a man loses 1 / 3 rd of his money , then wins rs . 10 loses 1 / 3 rd of what he has and wins rs . 20 and finds that he has exactly what be had at the beginning . what was the amount he originally bad ?","let x be that amount so accordind to question , eqn will be like : ( ( ( x - x / 3 ) + 10 ) - ( ( ( x - x / 3 ) + 10 ) / 3 ) ) + 20 = x = > ( ( 2 x / 3 + 10 ) - ( ( 2 x / 3 + 10 ) / 3 ) ) + 20 = x = > 3 x - 4 x / 3 = 80 = > x = 48 answer : d","a ) 25 , b ) 36 , c ) 10 , d ) 48 , e ) 45",d,"divide(add(multiply(subtract(const_1, divide(1, 3)), 10), 20), subtract(const_1, multiply(subtract(const_1, divide(1, 3)), subtract(const_1, divide(1, 3)))))","divide(n0,n1)|subtract(const_1,#0)|multiply(n2,#1)|multiply(#1,#1)|add(n5,#2)|subtract(const_1,#3)|divide(#4,#5)",general
what is the probability of getting sum of 10 on rolling three dices ?,"""the no of ways to roll three dies is 6 ^ 3 = 216 the possibles of getting sum as 10 is 631 = 3 ! = 6 622 = 3 ! / 2 ! = 3 541 = 3 ! = 6 523 = 3 ! = 6 442 = 3 ! / 2 ! = 3 433 = 3 ! / 2 ! = 3 total possibles for getting sum as 10 is 27 the probabilty is 27 / 216 answer : b""","a ) 28 / 216 , b ) 27 / 216 , c ) 29 / 216 , d ) 26 / 216 , e ) 25 / 216",b,"divide(const_2, choose(add(const_3, const_3), const_3))","add(const_3,const_3)|choose(#0,const_3)|divide(const_2,#1)|",probability
"for any integer n greater than 1 , # n denotes the product of all the integers from 1 to n , inclusive . how many prime numbers are there between # 6 + 2 and # 6 + 6 , inclusive ?","""given that n * denotes the product of all the integers from 1 to n , inclusive so , 6 * + 2 = 6 ! + 2 and 6 * + 6 = 6 ! + 6 . now , notice that we can factor out 2 our of 6 ! + 2 so it can not be a prime number , we can factor out 3 our of 6 ! + 3 so it can not be a prime number , we can factor out 4 our of 6 ! + 4 so it can not be a prime number , . . . the same way for all numbers between 6 * + 2 = 6 ! + 2 and 6 * + 6 = 6 ! + 6 , inclusive . which means that there are no primes in this range . answer : a .""","a ) none , b ) one , c ) two , d ) three , e ) four",a,"add(1, 1)","add(n0,n0)|",general
a carpenter worked alone for 1 day on a job that would take him 6 more days to finish . he and another carpenter completed the job in 7 more days . how many days would it have taken the second carpenter to do the complete job working alone ?,"""a carpenter worked only 1 day on something that takes him 6 more days . means ; carpenter finishes his work in 7 days . let his buddy finish the same task in x days . respective rates per day : 1 / 7 and 1 / x to complete 1 work : first guy worked for 5 days @ rate = 1 / 7 per day . second one worked for 7 days @ rate = 1 / x per day expression : days * rate = work 5 * 1 / 7 + 7 * 1 / x = 1 5 x + 49 = 7 x 2 x = 49 x = 24.5 days . ans : e""","a ) 4.5 , b ) 7.5 , c ) 9.5 , d ) 14.5 , e ) 24.5",e,"divide(multiply(7, add(1, 6)), const_2)","add(n0,n1)|multiply(n2,#0)|divide(#1,const_2)|",physics
"if 4 is the remainder when m is divided by 10 , what is the remainder when 4 m is divided by 10 ?","""we can put m = 10 * k + 4 . so 4 * m = 40 * k + 16 - - - > 40 * k + 16 = 10 * ( 4 * m + 1 ) + 6 - - - > the remainder is 6 . the answer is , therefore , ( c ) .""","a ) 2 , b ) 4 , c ) 6 , d ) 8 , e ) 0",c,"reminder(10, 4)","reminder(n1,n0)|",physics
"for an agricultural experiment , 300 seeds were planted in one plot and 200 were planted in a second plot . if exactly 25 percent of the seeds in the first plot germinated and exactly 35 percent of the seeds in the second plot germinated , what percent of the total number of seeds germinated ?","in the first plot 25 % of 300 seeds germinated , so 0.25 x 300 = 75 seeds germinated . in the second plot , 35 % of 200 seeds germinated , so 0.35 x 200 = 70 seeds germinated . since 75 + 70 = 145 seeds germinated out of a total of 300 + 200 = 500 seeds , the percent of seeds that germinated is ( 145 / 500 ) x 100 % , or 29 % . answer : c .","a ) 12 % , b ) 26 % , c ) 29 % , d ) 30 % , e ) 60 %",c,"multiply(divide(add(multiply(divide(25, const_100), 300), multiply(divide(35, const_100), 200)), add(300, 200)), const_100)","add(n0,n1)|divide(n2,const_100)|divide(n3,const_100)|multiply(n0,#1)|multiply(n1,#2)|add(#3,#4)|divide(#5,#0)|multiply(#6,const_100)",general
"on the first day of her vacation , louisa traveled 240 miles . on the second day , traveling at the same average speed , she traveled 420 miles . if the 240 - mile trip took 3 hours less than the 420 - mile trip , what was the average speed , in miles per hour ?","""( time ) * ( rate ) = ( distance ) - - > ( rate ) = ( distance ) / ( time ) - - > given : ( rate ) = 240 / t = 420 / ( t + 3 ) - - > 4 / t = 7 / ( t + 3 ) - - > 4 t + 12 = 7 t - - - - > 3 t = 12 . t = 4 - - - - > ( rate ) = 240 / 4 = 60 answer : d""","a ) 65 , b ) 50 , c ) 55 , d ) 60 , e ) 58",d,"divide(subtract(420, 240), 3)","subtract(n1,n0)|divide(#0,n3)|",physics
the number of positive integers n in the range 12 ≤ n ≤ 40 such that the product ( n − 1 ) ( n − 2 ) . . . 3 . 2.1 is not divisible by n is,"explanation : ( n - 1 ) ! is always divisible by n unless and untill n is a prime number e . g . ( 5 - 1 ) ! = 4 ! which is not divisible by 5 bcuz 5 is a prime number therefore , find all prime numbers in the range of 12 to 40 i . e 13 , 17 , 19 , 23 , 29 , 31 and 37 hence , the number of positive integers n is 7 . answer : b","a ) 5 , b ) 7 , c ) 13 , d ) 14 , e ) 16",b,"add(add(3, 2), 2)","add(n3,n4)|add(n3,#0)",general
"79 laboratories raise the bacterium , the laboratory have 48 culture dishes on average , which has about 25,073 bacteria each . how many bacteria are there approximately ?","79 laboratories raise the bacterium , the laboratory have 48 culture dishes on average , which has about 25,073 bacteria each . how many bacteria are there approximately ? a . 10 ^ 7 b . 10 ^ 8 c . 10 ^ 9 d . 10 ^ 10 e . 10 ^ 11 - > due to approximately , 79 = 80 , 48 = 50 , 25,073 = 25,000 are derived , which makes ( 79 ) ( 48 ) ( 25,075 ) = ( 80 ) ( 50 ) ( 25,000 ) = 10 ^ 8 . the answer is c .","a ) 10 ^ 7 , b ) 10 ^ 9 , c ) 10 ^ 8 , d ) 10 ^ 10 , e ) 10 ^ 11",c,"multiply(multiply(79, 48), add(add(multiply(multiply(const_0_25, const_1000), const_100), multiply(add(const_3, const_4), const_10)), const_3))","add(const_3,const_4)|multiply(const_0_25,const_1000)|multiply(n0,n1)|multiply(#1,const_100)|multiply(#0,const_10)|add(#3,#4)|add(#5,const_3)|multiply(#6,#2)",general
"a set consists of 15 numbers , all are even or multiple of 5 . if 8 numbers are even and 10 numbers are multiple of 5 , how many numbers is multiple of 10 ?","""{ total } = { even } + { multiple of 5 } - { both } + { nether } . since { neither } = 0 ( allare even or multiple of 5 ) then : 15 = 8 + 10 - { both } + 0 ; { both } = 3 ( so 1 number is both even and multiple of 5 , so it must be a multiple of 10 ) . answer : d .""","a ) 0 , b ) 1 , c ) 2 , d ) 3 , e ) 5",d,"subtract(15, 10)","subtract(n0,n3)|",general
the greatest number that divides 2928 and 3240 leaving remainders 5 and 1 respectively is :,"""explanation : 2928 - 5 = 2923 , 3240 - 1 = 3239 highest number that can divide 2923 and 3239 is hcf of numbers . hcf of 2923 and 3239 = 79 answer : c""","a ) 74 , b ) 78 , c ) 79 , d ) 81 , e ) 85",c,"divide(subtract(3240, 1), gcd(2928, 3240))","gcd(n0,n1)|subtract(n1,n3)|divide(#1,#0)|",general
"find large number from below question the difference of 2 no ' s is 1365 . on dividing the larger number by the smaller , we get 6 as quotient and the 15 as remainder","""let the smaller number be x . then larger number = ( x + 1365 ) . x + 1365 = 6 x + 15 5 x = 1350 x = 270 large number = 270 + 1365 = 1635 e""","a ) 1236 , b ) 1356 , c ) 1470 , d ) 1556 , e ) 1635",e,"multiply(divide(subtract(2, 6), subtract(1365, const_1)), 1365)","subtract(n0,n2)|subtract(n1,const_1)|divide(#0,#1)|multiply(n1,#2)|",general
"a sum was put at simple interest at certain rate for 3 years . had it been put at 1 % higher rate it would have fetched rs . 72 more . the sum is : a . rs . 2,400 b . rs . 2,100 c . rs . 2,200 d . rs . 2,480",1 percent for 3 years = 72 1 percent for 1 year = 24 = > 100 percent = 2400 answer : e,"a ) 2000 , b ) 2100 , c ) 2200 , d ) 2300 , e ) 2400",e,"multiply(divide(72, 3), const_100)","divide(n2,n0)|multiply(#0,const_100)",gain
a and b together can do a work in 3 days . if a alone can do it in 6 days . in how many days can b alone do it ?,"""1 / 3 – 1 / 6 = 1 / 6 = > 6 answer : e""","a ) 10 , b ) 99 , c ) 77 , d ) 55 , e ) 6",e,"add(inverse(subtract(divide(const_1, 3), divide(const_1, 6))), divide(const_2, add(const_2, const_3)))","add(const_2,const_3)|divide(const_1,n0)|divide(const_1,n1)|divide(const_2,#0)|subtract(#1,#2)|inverse(#4)|add(#3,#5)|",physics
"a man is 26 years older than his studen . in two years , his age will be twice the age of his student . the present age of his student is :","let the student ' s present age be x years . then , man ' s present age = ( x + 26 ) years . ( x + 26 ) + 2 = 2 ( x + 2 ) x + 28 = 2 x + 4 x = 24 . answer : e","a ) 20 , b ) 21 , c ) 22 , d ) 23 , e ) 24",e,"subtract(26, const_2)","subtract(n0,const_2)",general
"a = { 2 , 3 , 4 , 5 } b = { 4 , 5 , 6 , 7 , 8 } two integers will be randomly selected from the sets above , one integer from set a and one integer from set b . what is the probability t that the sum of the two integers will equal 9 ?","rearrange the first set : a = { 54 , 32 } b = { 45 , 67 , 8 } as you can see numbers in each column ( the numbers of the same color ) give the sum of 9 . so there are 4 such pares possible , total # of pairs is 4 * 5 = 20 . t = favorable / total = 4 / 20 = 0.2 . answer : b . or : we can select any number from set a ( 4 / 4 = 1 ) but in this case we must select its matching pair from set b ( the number of the same color ) and since there are only one matching pair of this particular number in b then the probability of this is 1 / 5 . so , overall : t = 1 * 1 / 5 . answer : b .","a ) 0.15 , b ) 0.20 , c ) 0.25 , d ) 0.30 , e ) 0.33",b,"divide(4, multiply(4, 5))","multiply(n2,n3)|divide(n2,#0)",general
"the population of a bacteria culture doubles every 4 minutes . approximately how many minutes will it take for the population to grow from 1,000 to 500,000 bacteria","""this one ' s easy . 1000 * 2 ^ t = 500,000 2 ^ t = 500 now gauging , since 2 ^ 8 = 256 , then 2 ^ 9 = 512 so t = 9 but be careful , ' t ' is in time intervals of 4 minutes so answer is 9 * 4 = 36 minutes answer ( d )""","a ) 10 , b ) 12 , c ) 14 , d ) 36 , e ) 18",d,"multiply(log(divide(multiply(multiply(add(const_4, const_1), 1,000), const_100), 1,000)), 4)","add(const_1,const_4)|multiply(#0,n1)|multiply(#1,const_100)|divide(#2,n1)|log(#3)|multiply(n0,#4)|",general
how many pieces can a square pizza be cut into by making 4 linear cuts ?,1 cut makes two pieces a second cut can make 4 pieces by cutting through 2 of the pieces a third cut can make 7 pieces by cutting through 3 of the pieces a fourth cut can make 11 pieces by cutting through 4 of the pieces b,"['a ) 10', 'b ) 11', 'c ) 12', 'd ) 13', 'e ) 14']",b,"subtract(multiply(4, const_3), const_1)","multiply(n0,const_3)|subtract(#0,const_1)",geometry
two trains of length 220 m and 280 m are running towards each other on parallel lines at 42 kmph and 30 kmph respectively . in what time will they be clear of each other from the moment they meet ?,"""relative speed = ( 42 + 30 ) * 5 / 18 = 4 * 5 = 20 mps . distance covered in passing each other = 220 + 280 = 500 m . the time required = d / s = 500 / 20 = 25 sec . answer : d""","a ) 28 , b ) 266 , c ) 990 , d ) 25 , e ) 11",d,"divide(add(220, 280), multiply(add(42, 30), const_0_2778))","add(n0,n1)|add(n2,n3)|multiply(#1,const_0_2778)|divide(#0,#2)|",physics
we bought orange juice and apple juice at the store . a bottle of orange juice costs 70 cents and a bottle of apple juice costs 60 cents . we bought a total of 70 bottles for $ 46.20 . how many bottles of orange juice did we buy ?,let oj be the bottles of orange juice and let aj be the bottles of apple juice . ( oj ) + aj = 70 . aj = 70 - ( oj ) . 70 ( oj ) + 60 aj = 4620 . 70 ( oj ) + 60 ( 70 - oj ) = 4620 . 10 ( oj ) + 4200 = 4620 . oj = 42 . the answer is d .,"a ) 32 , b ) 36 , c ) 38 , d ) 42 , e ) 48",d,"divide(subtract(multiply(46.2, const_100), multiply(60, 70)), subtract(70, 60))","multiply(n3,const_100)|multiply(n0,n1)|subtract(n0,n1)|subtract(#0,#1)|divide(#3,#2)",general
"if x is to be chosen at random from the integers between 1 to 7 , inclusive , and y is to be chosen at random from the integers between 7 and 11 , inclusive , what is the probability that x + y will be even ?","""x + y will be even if x and y are both even or both odd . p ( x and y are both even ) = 3 / 7 * 2 / 5 = 6 / 35 p ( x and y are both odd ) = 4 / 7 * 3 / 5 = 12 / 35 p ( x + y is even ) = 6 / 35 + 12 / 35 = 18 / 35 the answer is d .""","a ) 3 / 5 , b ) 4 / 7 , c ) 5 / 7 , d ) 18 / 35 , e ) 23 / 35",d,"divide(add(multiply(const_2, const_2), multiply(const_3, const_2)), multiply(7, subtract(7, 1)))","multiply(const_2,const_2)|multiply(const_2,const_3)|subtract(n1,n0)|add(#0,#1)|multiply(n1,#2)|divide(#3,#4)|",general
"a glucose molecule contains 6 carbon , 12 hydrogen and 6 oxygen atoms . during photosynthesis , green plants create glucose daily . if , over a period of 12 days , an eucalyptus plant ( a green plant ) creates 12000 molecules of glucose then approximately how many more atoms of hydrogen than carbon are created on average per day ?","solution : we know that 12,000 glucose molecules are created over a period of 12 days . therefore 12,000 / 12 = 1,000 glucose molecules are created on average per day . each glucose molecule contains 6 carbon atoms and 12 hydrogen atoms . so 1,000 glucose molecules contain 6 × 1,000 = 6,000 carbon atoms and 12 × 1,000 = 12,000 hydrogen atoms . the difference is 12,000 – 6,000 = 6,000 . the correct answer is b .","a ) 60,000 , b ) 6,000 , c ) 2,500 , d ) 250 , e ) 0",b,"multiply(divide(12000, 12), 12)","divide(n4,n1)|multiply(n1,#0)",general
a basketball player practices 2 hours a day monday through friday . how many hours must he practice saturday and sunday combined if he wants to practice an average ( arithmetic mean ) of 3 hours a day for the 7 day week ?,total number of hours practiced mon through fri : 5 * 2 = 10 total number of hours that will be practiced in a 7 day week considering 3 hours a day average : 7 * 3 = 21 thus 21 - 10 = 11 hours still need to be practiced ( on sat and sun combined ) d,"a ) 8 , b ) 9 , c ) 10 , d ) 11 , e ) 12",d,"subtract(multiply(3, 7), multiply(add(2, 3), 2))","add(n0,n1)|multiply(n1,n2)|multiply(n0,#0)|subtract(#1,#2)",general
"when the positive integer k is divided by the positive integer n , the remainder is 11 . if k / n = 83.2 , what is the value of n ?","here ' s an approach that ' s based on number properties and a bit ofbrute forcemath : we ' re told that k and n are both integers . since k / n = 81.2 , we can say that k = 81.2 ( n ) n has tomultiply outthe . 2 so that k becomes an integer . with the answers that we have to work with , n has to be a multiple of 5 . eliminate a and e . with the remaining answers , we can test the answers and find the one that fits the rest of the info ( k / n = 81.2 and k / n has a remainder of 11 ) answer b : if n = 20 , then k = 1624 ; 1624 / 20 has a remainder of 4 not a match answer c : if n = 55 , then k = 4466 ; 4466 / 55 has a remainder of 11 match . final answer : e","a ) 9 , b ) 20 , c ) 55 , d ) 70 , e ) 81",e,"divide(add(multiply(divide(subtract(multiply(83.2, const_10), const_2), const_10), divide(11, divide(const_2, const_10))), 11), divide(11, divide(const_2, const_10)))","divide(const_2,const_10)|multiply(n1,const_10)|divide(n0,#0)|subtract(#1,const_2)|divide(#3,const_10)|multiply(#4,#2)|add(n0,#5)|divide(#6,#2)",general
what sum of money will produce rs . 90 as simple interest in 4 years at 4 1 / 2 percent ?,"""explanation : 90 = ( p * 4 * 9 / 2 ) / 100 90 = 36 p / 100 p = 500 answer : option d""","a ) rs . 550 , b ) rs . 650 , c ) rs . 600 , d ) rs . 500 , e ) rs . 700",d,"divide(90, divide(multiply(4, add(4, divide(1, 2))), const_100))","divide(n3,n4)|add(n2,#0)|multiply(n1,#1)|divide(#2,const_100)|divide(n0,#3)|",gain
two trains are moving in the same direction at 72 kmph and 36 kmph . the faster train crosses a man in the slower train in 7 seconds . find the length of the faster train ?,"""relative speed = ( 72 - 36 ) * 5 / 18 = 2 * 5 = 10 mps . distance covered in 27 sec = 7 * 10 = 70 m . the length of the faster train = 70 m . answer : a""","a ) 70 , b ) 20 , c ) 30 , d ) 75 , e ) 15",a,"multiply(divide(subtract(72, 36), const_3_6), 7)","subtract(n0,n1)|divide(#0,const_3_6)|multiply(n2,#1)|",physics
"if the average ( arithmetic mean ) of a and b is 80 , and the average of b and c is 180 , what is the value of a − c ?","""a + b = 160 b + c = 360 a - c = - 200 . imo option b .""","a ) − 220 , b ) − 200 , c ) 100 , d ) 135 , e ) it can not be determined from the information given",b,"subtract(multiply(180, const_2), multiply(80, const_2))","multiply(n1,const_2)|multiply(n0,const_2)|subtract(#0,#1)|",general
"exactly 3 / 7 of the people in the room are under the age of 21 , and exactly 5 / 8 of the people in the room are over the age of 65 . if the total number of the people in the room is greater than 50 and less than 100 , how many people in the room are under the age of 21 ?","""the total number of the people in the room must be a multiple of both 7 and 8 ( in order 3 / 7 and 5 / 8 of the number to be an integer ) , thus the total number of the people must be a multiple of lcm of 7 and 8 , which is 56 . since , the total number of the people in the room is greater than 50 and less than 100 , then there are 56 people in the room . therefore there are 3 / 7 * 56 = 24 people in the room under the age of 21 . answer : a .""","a ) 24 , b ) 35 , c ) 39 , d ) 60 , e ) 65",a,"divide(multiply(multiply(7, 8), 3), 7)","multiply(n1,n4)|multiply(n0,#0)|divide(#1,n1)|",general
"alice picked a number of pears , each of which she sold , canned , or poached . she canned 20 percent more than she poached , and she poached 50 percent less than she sold . if there were a total of 42 pears , then how many pears did she sell ?",let x be the amount of pears that she sold . then she poached 0.5 x . then she canned 1.2 * 0.5 x = 0.6 x . the total amount of pears is x + 0.5 x + 0.6 x = 2.1 x the fraction of pears that she sold is 1 / 2.1 = 10 / 21 . the number of pears she sold is ( 10 / 21 ) * 42 = 20 . the answer is a .,"a ) 20 , b ) 21 , c ) 22 , d ) 23 , e ) 24",a,"divide(42, add(const_1, add(divide(50, const_100), multiply(divide(50, const_100), add(const_1, divide(20, const_100))))))","divide(n1,const_100)|divide(n0,const_100)|add(#1,const_1)|multiply(#2,#0)|add(#0,#3)|add(#4,const_1)|divide(n2,#5)",general
the value of x + x ( x ^ x ) when x = 10 is,"solution : x + x ( x ^ x ) put the value of x = 10 in the above expression we get , 10 + 10 ( 10 ^ 10 ) = 10 + 10 ( 10 ã — 10 x 10 x 10 x 10 x 10 x 10 x 10 x 10 x 10 ) = 10 + 10 ( 10000000000 ) = 10 + 100000000000 = 100000000010 answer : ( a )","a ) 100000000010 , b ) 10000000010 , c ) 10000000000 , d ) 1200000000 , e ) 12000000010",a,"add(multiply(10, power(10, 10)), 10)","power(n0,n0)|multiply(n0,#0)|add(n0,#1)",general
if k is a non - negative integer and 30 ^ k is a divisor of 929260 then 3 ^ k - k ^ 3 =,"9 + 2 + 9 + 2 + 6 + 0 = 28 , so this number is not divisible by 3 and thus not divisible by 30 . therefore , k = 0 3 ^ k - k ^ 3 = 1 - 0 = 1 the answer is b .","a ) 0 , b ) 1 , c ) 45 , d ) 130 , e ) 520",b,"divide(3, 3)","divide(n2,n2)",general
"a sum was put at simple interest at a certain rate for 4 years had it been put at 2 % higher rate , it would have fetched 56 more . find the sum .","""difference in s . i . = p × t / 100 ( r 1 − r 2 ) ⇒ 56 = p × 4 × 2 / 100 ( ∵ r 1 - r 2 = 2 ) ⇒ p = 56 × 100 / 4 × 2 = 700 answer c""","a ) 500 , b ) 600 , c ) 700 , d ) 800 , e ) none of these",c,"divide(56, multiply(divide(2, const_100), 4))","divide(n1,const_100)|multiply(n0,#0)|divide(n2,#1)|",gain
"a vending machine randomly dispenses 4 different types of fruit candy . there are twice as many apple candies as orange candies , twice as many strawberry candies as grape candies , and twice as many apple candies as strawberry candies . if each candy cost $ 0.1 , and there are exactly 90 candies , what is the minimum amount of money required to guarantee that you would buy at least 3 of each type of candy ?","let number of apple , orange , strawberry and grape candies be a , o , s and g respectively . a = 2 o s = 2 g a = 2 s a = 4 g a + o + s + g = 90 = > a + a / 2 + a / 2 + a / 4 = 90 = > 9 a / 4 = 90 = > a = 40 o = 20 s = 20 g = 10 cost of each candy = . 1 $ mininum amount of money required to guarantee that you would buy at least three of each type of candy we can buy 40 apple candies , 20 orange candies , 20 strawberry candies and 3 grape candies to ensure atleast 3 of each type of candies . total = 83 candies amount required = 83 * . 1 = 8.30 $ answer a","a ) $ 8.30 , b ) $ 20.75 , c ) $ 22.50 , d ) $ 42.75 , e ) $ 45.00",a,"multiply(0.1, add(add(add(multiply(divide(90, add(4, divide(const_1, const_2))), const_2), divide(90, add(4, divide(const_1, const_2)))), divide(90, add(4, divide(const_1, const_2)))), 3))","divide(const_1,const_2)|add(n0,#0)|divide(n2,#1)|multiply(#2,const_2)|add(#2,#3)|add(#4,#2)|add(n3,#5)|multiply(n1,#6)",general
"a can do a work in 6 days , b can do a work in 8 days and c can do it in 12 days . b left work after 4 days . for how many number of days should a and c should work together to complete the remaining work ?","""b work 1 / 8 * 4 = 1 / 2 remaining work = 1 - 1 / 2 = 1 / 2 a and c work together = 1 / 6 + 1 / 12 = 3 / 12 = 1 / 4 take reciprocal 4 * remaining work = 2 * 1 / 4 = 0.5 answer : e""","a ) 0.1 , b ) 0.2 , c ) 0.3 , d ) 0.4 , e ) 0.5",e,"add(divide(4, 6), divide(4, 8))","divide(n3,n0)|divide(n3,n1)|add(#0,#1)|",physics
the tax on a commodity is diminished by 20 % and its consumption increased by 25 % . the effect on revenue is ?,"""100 * 100 = 10000 80 * 125 = 10000 - - - - - - - - - - - 10000 - - - - - - - - - - - 0 100 - - - - - - - - - - - ? = > 0 % no change answer : d""","a ) 2 % decrease , b ) 8 % decrease , c ) 9 % decrease , d ) 0 % no change , e ) 2 % decrease",d,"subtract(const_100, multiply(multiply(add(const_1, divide(25, const_100)), subtract(const_1, divide(20, const_100))), const_100))","divide(n1,const_100)|divide(n0,const_100)|add(#0,const_1)|subtract(const_1,#1)|multiply(#2,#3)|multiply(#4,const_100)|subtract(const_100,#5)|",general
"if n is a prime number greater than 4 , what is the remainder when n ^ 2 is divided by 12 ?","""there are several algebraic ways to solve this question including the one under the spoiler . but the easiest way is as follows : since we can not have two correct answersjust pick a prime greater than 4 , square it and see what would be the remainder upon division of it by 12 . n = 7 - - > n ^ 2 = 49 - - > remainder upon division 49 by 12 is 1 . answer : c .""","a ) 0 , b ) 2 , c ) 1 , d ) 3 , e ) 5",c,"subtract(power(add(4, 2), 2), multiply(12, const_4))","add(n0,n1)|multiply(n2,const_4)|power(#0,n1)|subtract(#2,#1)|",general
a can do a particular work in 6 days . b can do the same work in 8 days . a and b signed to do it for rs . 3680 . they completed the work in 3 days with the help of c . how much is to be paid to c ?,"""explanation : amount of work a can do in 1 day = 1 / 6 amount of work b can do in 1 day = 1 / 8 amount of work a + b can do in 1 day = 1 / 6 + 1 / 8 = 7 / 24 amount of work a + b + c can do = 1 / 3 amount of work c can do in 1 day = 1 / 3 - 7 / 24 = 1 / 24 work a can do in 1 day : work b can do in 1 day : work c can do in 1 day = 1 / 6 : 1 / 8 : 1 / 24 = 4 : 3 : 1 amount to be paid to c = 3680 × ( 1 / 8 ) = 460 answer : option c""","a ) s . 380 , b ) s . 600 , c ) s . 460 , d ) s . 400 , e ) s . 480",c,"multiply(multiply(3, subtract(divide(const_1, 3), add(divide(const_1, 6), divide(const_1, 8)))), 3680)","divide(const_1,n3)|divide(const_1,n0)|divide(const_1,n1)|add(#1,#2)|subtract(#0,#3)|multiply(n3,#4)|multiply(n2,#5)|",physics
"in what time will a train 100 meters long cross an electric pole , if its speed is 36 km / hr","""first convert speed into m / sec speed = 36 * ( 5 / 18 ) = 10 m / sec time = distance / speed = 100 / 10 = 10 seconds answer : b""","a ) 8.5 seconds , b ) 10 seconds , c ) 3.5 seconds , d ) 2.5 seconds , e ) 2.6 seconds",b,"divide(100, multiply(36, const_0_2778))","multiply(n1,const_0_2778)|divide(n0,#0)|",physics
"if x / ( 12 p ) is an odd prime number , where x is a positive integer and p is a prime number , what is the least value of x ?","""x / ( 12 p ) = odd prime number x = odd prime number * 11 p least value of x = lowest odd prime number * 11 * lowest value of p = 3 * 12 * 2 = 72 answer e""","a ) 22 , b ) 33 , c ) 44 , d ) 66 , e ) 72",e,"multiply(multiply(const_3, 12), const_2)","multiply(n0,const_3)|multiply(#0,const_2)|",general
